,Time,OD,Sample,All Events ,P1 Events,H2-UR Events,mCherry Events,H2-LL Events,GFP Events,All Events  % Total,P1 % Total,H2-UR % Total,mCherry % Total,H2-LL % Total,GFP % Total,All Events  % Parent,P1 % Parent,H2-UR % Parent,mCherry % Parent,H2-LL % Parent,GFP % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,H2-UR Mean FITC-A,mCherry Mean FITC-A,H2-LL Mean FITC-A,GFP Mean FITC-A,All Events  Mean ECD-A,P1 Mean ECD-A,H2-UR Mean ECD-A,mCherry Mean ECD-A,H2-LL Mean ECD-A,GFP Mean ECD-A,All Events  Mean FSC-A,P1 Mean FSC-A,H2-UR Mean FSC-A,mCherry Mean FSC-A,H2-LL Mean FSC-A,GFP Mean FSC-A,All Events  rCV FSC-A,P1 rCV FSC-A,H2-UR rCV FSC-A,mCherry rCV FSC-A,H2-LL rCV FSC-A,GFP rCV FSC-A,GFP_ratio,mCherry_ratio
#177,10.254166666666663,0.006999999999999999,#1-2,100931,90066,26,2010,3867,84163,100.00%,89.24%,0.03%,1.99%,3.83%,83.39%,100.00%,89.24%,0.03%,2.23%,4.29%,93.45%,11773.3,12999.5,4074.5,281.4,241.2,13892.2,904.6,995.1,9276.0,21209.9,260.9,543.5,53944.0,59266.5,135042.3,55532.2,47118.6,59890.4,40.17%,34.22%,66.39%,34.09%,38.02%,33.81%,0.976693143812709,0.023306856187291003
#178,10.274722222222238,0.006999999999999999,#2-1,98696,87204,5,790,2082,84327,100.00%,88.36%,0.01%,0.80%,2.11%,85.44%,100.00%,88.36%,0.01%,0.91%,2.39%,96.70%,12577.6,14027.8,1755.5,208.1,250.3,14498.2,649.8,693.9,3769.3,17919.6,298.1,542.2,56789.6,62452.6,293307.4,61133.2,47089.9,62830.6,39.37%,32.89%,49.18%,31.89%,38.81%,32.62%,0.9906771847146809,0.009322815285319086
#179,10.29333333333335,0.006999999999999999,#2-2,109776,100289,64,30567,2875,66783,100.00%,91.36%,0.06%,27.84%,2.62%,60.84%,100.00%,91.36%,0.06%,30.48%,2.87%,66.59%,8268.1,8946.1,4253.2,193.4,249.2,13331.2,4615.9,4981.6,9657.7,14908.1,346.7,633.2,56199.1,60379.2,94086.4,57227.4,47971.9,62323.7,36.94%,32.77%,45.54%,32.11%,36.37%,32.36%,0.6859997939631194,0.3140002060368806
#180,10.3125,0.008,#3-1,111126,98869,11,9287,2588,86983,100.00%,88.97%,0.01%,8.36%,2.33%,78.27%,100.00%,88.97%,0.01%,9.39%,2.62%,87.98%,11205.5,12402.5,5437.2,162.5,255.9,14071.7,1645.0,1796.2,12126.6,13924.1,326.3,543.8,56327.1,60620.0,86959.4,56686.5,46904.2,61444.7,38.96%,33.31%,80.26%,32.50%,37.74%,33.04%,0.9035637259936325,0.09643627400636745
#181,10.329722222222188,0.006999999999999999,#3-2,109728,96827,44,58752,3484,34547,100.00%,88.24%,0.04%,53.54%,3.18%,31.48%,100.00%,88.24%,0.05%,60.68%,3.60%,35.68%,4508.5,5020.7,4183.2,164.5,243.9,13762.1,6979.0,7790.8,9543.5,12414.3,375.6,673.5,54512.5,58461.0,80666.7,56891.9,46417.3,62315.8,40.89%,34.45%,44.88%,33.78%,35.61%,34.37%,0.37027812370278124,0.6297218762972188
#182,10.346388888888896,0.004,#4-1,39769,32089,3,7153,1156,23777,100.00%,80.69%,0.01%,17.99%,2.91%,59.79%,100.00%,80.69%,0.01%,22.29%,3.60%,74.10%,9073.4,11057.6,2643.5,164.6,270.3,14860.1,2640.3,3149.2,5713.8,12102.4,420.3,588.0,52948.3,62384.8,84992.1,58262.7,46195.2,64409.1,46.97%,33.42%,3.83%,32.90%,41.45%,32.76%,0.7687519452225334,0.23124805477746657
#183,10.365277777777806,0.008,#4-2,108887,100423,38,68015,3585,28785,100.00%,92.23%,0.03%,62.46%,3.29%,26.44%,100.00%,92.23%,0.04%,67.73%,3.57%,28.66%,3861.9,4065.1,4170.8,139.6,213.7,13819.8,7738.5,8198.9,9724.3,11802.7,353.8,658.7,54760.9,57962.0,130412.7,56743.1,45821.7,62258.5,36.76%,33.07%,43.93%,32.60%,35.09%,32.65%,0.2973337483141405,0.7026662516858595
#184,10.385833333333323,0.008,#5-1,108417,100221,15,30679,2538,66989,100.00%,92.44%,0.01%,28.30%,2.34%,61.79%,100.00%,92.44%,0.01%,30.61%,2.53%,66.84%,9148.7,9798.9,5918.6,132.2,209.8,14590.2,3381.7,3620.0,14182.4,10542.0,257.7,575.0,58329.4,61603.4,172844.2,58350.5,46230.0,63650.7,35.38%,31.84%,32.38%,31.36%,36.33%,31.55%,0.6858902001026168,0.3141097998973832
#185,10.412222222222283,0.01,#5-2,107980,100387,14,76527,3199,20647,100.00%,92.97%,0.01%,70.87%,2.96%,19.12%,100.00%,92.97%,0.01%,76.23%,3.19%,20.57%,2918.1,3102.0,6076.6,116.9,174.1,14617.7,7948.4,8464.3,14600.3,10903.5,300.4,684.2,56173.0,59561.7,125462.6,58609.1,45570.7,65215.4,36.22%,32.98%,49.83%,32.31%,34.85%,33.50%,0.21249999999999997,0.7875000000000001
#186,10.764999999999986,0.013000000000000001,#1-2,109591,100230,11,2016,2214,95989,100.00%,91.46%,0.01%,1.84%,2.02%,87.59%,100.00%,91.46%,0.01%,2.01%,2.21%,95.77%,12777.0,13780.6,3462.1,299.0,221.0,14377.6,914.2,962.7,7893.5,21712.3,204.0,543.6,60876.5,63703.2,157466.1,61199.4,48567.4,64094.1,36.12%,32.03%,64.87%,31.82%,37.71%,31.81%,0.9794436490079771,0.02055635099202291
#187,10.789166666666688,0.013999999999999999,#2-1,98156,87085,6,790,2147,84142,100.00%,88.72%,0.01%,0.80%,2.19%,85.72%,100.00%,88.72%,0.01%,0.91%,2.47%,96.62%,12556.1,13950.9,3643.6,247.2,229.7,14430.4,629.1,681.6,9156.1,18500.1,205.3,525.9,57687.2,62899.1,321488.4,63796.0,47979.8,63253.0,37.77%,31.81%,50.63%,33.12%,39.68%,31.49%,0.9906695375781811,0.009330462421818897
#188,10.8125,0.015,#2-2,67471,56005,38,17501,1749,36717,100.00%,83.01%,0.06%,25.94%,2.59%,54.42%,100.00%,83.01%,0.07%,31.25%,3.12%,65.56%,7535.9,8936.2,4148.1,224.1,214.9,13509.2,4317.5,5100.4,9558.9,14957.6,250.8,628.3,55227.6,63204.0,104179.1,59775.9,47559.5,65540.8,42.60%,32.29%,50.19%,31.25%,39.89%,32.24%,0.677202768309059,0.322797231690941
#189,10.836666666666645,0.013999999999999999,#3-1,60368,50280,5,4912,1550,43813,100.00%,83.29%,0.01%,8.14%,2.57%,72.58%,100.00%,83.29%,0.01%,9.77%,3.08%,87.14%,11027.8,13037.9,4531.4,188.6,230.4,14932.5,1605.0,1857.1,11421.9,13943.4,244.1,558.1,57273.4,64765.5,172616.7,60188.3,48585.0,65838.8,42.83%,32.76%,83.52%,32.40%,38.08%,32.36%,0.8991848106490559,0.10081518935094413
#190,10.863333333333344,0.013999999999999999,#3-2,66827,56680,22,34459,2173,20026,100.00%,84.82%,0.03%,51.56%,3.25%,29.97%,100.00%,84.82%,0.04%,60.80%,3.83%,35.33%,4243.1,4921.4,3870.6,181.8,202.2,13590.0,6667.4,7743.8,8981.5,12330.3,286.2,659.7,54166.3,59424.3,96557.5,58033.2,46914.7,63134.4,41.06%,32.60%,48.46%,32.11%,38.31%,32.18%,0.36752314574014355,0.6324768542598564
#191,10.888888888888857,0.006,#4-1,24945,18103,1,4271,637,13194,100.00%,72.57%,0.00%,17.12%,2.55%,52.89%,100.00%,72.57%,0.01%,23.59%,3.52%,72.88%,8482.4,11488.2,1614.4,192.5,252.0,15687.9,2486.1,3285.0,3356.2,12054.3,337.9,588.6,54576.7,65926.1,374508.9,61850.3,46773.3,68146.8,60.38%,32.99%,0.00%,32.40%,49.38%,32.02%,0.7554680211464704,0.24453197885352962
#192,10.910277777777821,0.02,#4-2,103303,93662,27,64571,4314,24750,100.00%,90.67%,0.03%,62.51%,4.18%,23.96%,100.00%,90.67%,0.03%,68.94%,4.61%,26.42%,3542.6,3845.3,4134.0,157.3,195.1,14103.0,7705.0,8350.3,9308.2,11834.4,264.8,668.8,55542.6,59822.8,99492.3,58594.3,46969.8,65224.8,36.74%,32.41%,35.04%,31.62%,33.94%,32.83%,0.27705536912751677,0.7229446308724832
#193,10.927500000000009,0.018000000000000002,#5-1,60993,53106,7,18363,2123,32613,100.00%,87.07%,0.01%,30.11%,3.48%,53.47%,100.00%,87.07%,0.01%,34.58%,4.00%,61.41%,8290.4,9387.3,4767.4,152.6,219.4,15184.7,3614.3,4095.0,11012.4,10769.7,273.6,584.1,57493.5,63859.7,127842.5,60279.6,48906.5,66835.1,39.66%,32.88%,17.01%,31.56%,35.07%,32.80%,0.6397541410563601,0.3602458589436399
#194,10.943333333333328,0.022000000000000002,#5-2,109075,100426,17,76307,4284,19818,100.00%,92.07%,0.02%,69.96%,3.93%,18.17%,100.00%,92.07%,0.02%,75.98%,4.27%,19.73%,2725.4,2915.8,4373.6,143.2,196.7,14178.2,7720.9,8293.5,10000.1,10729.3,330.3,634.8,55031.3,58475.4,130623.0,57711.9,46394.3,63965.0,35.69%,32.24%,42.53%,31.71%,33.80%,32.26%,0.20614355866680598,0.793856441333194
#195,11.203055555555522,0.026000000000000002,#1-2,99608,88191,10,1870,2933,83378,100.00%,88.54%,0.01%,1.88%,2.94%,83.71%,100.00%,88.54%,0.01%,2.12%,3.33%,94.54%,12430.6,13848.7,7208.1,286.0,232.8,14632.7,907.5,915.9,18495.3,19683.0,221.7,517.3,59126.5,64401.7,107601.6,58474.9,50769.6,65009.0,38.61%,32.72%,32.66%,31.60%,37.77%,32.46%,0.9780674529277881,0.021932547072211928
#196,11.228055555555613,0.025,#2-1,111896,100337,5,857,3042,96433,100.00%,89.67%,0.00%,0.77%,2.72%,86.18%,100.00%,89.67%,0.00%,0.85%,3.03%,96.11%,12622.9,13854.4,1538.7,210.8,230.9,14406.0,618.7,675.0,3215.1,19105.0,252.9,524.4,58423.1,63773.9,350106.6,62411.7,48267.7,64260.3,38.31%,32.99%,18.71%,33.19%,35.63%,32.71%,0.991233498349835,0.008766501650165015
#197,11.249166666666667,0.027999999999999997,#2-2,112795,100372,89,29585,3325,67373,100.00%,88.99%,0.08%,26.23%,2.95%,59.73%,100.00%,88.99%,0.09%,29.48%,3.31%,67.12%,7963.4,8751.8,4392.4,213.4,210.5,12928.6,4364.3,4744.8,10476.1,14613.7,246.1,625.6,57071.7,60999.8,115603.3,57901.6,46583.0,62999.6,38.65%,33.28%,46.12%,32.63%,34.85%,32.80%,0.6948240165631471,0.3051759834368529
#198,11.301944444444473,0.03,#3-1,110608,100342,13,9373,2831,88125,100.00%,90.72%,0.01%,8.47%,2.56%,79.67%,100.00%,90.72%,0.01%,9.34%,2.82%,87.82%,11443.0,12431.9,3910.3,178.3,225.1,14128.6,1621.6,1765.8,8929.9,13799.1,250.9,533.5,57295.4,62474.2,176521.9,57774.3,48002.8,63422.2,38.43%,33.78%,46.87%,33.06%,34.83%,33.58%,0.9038699053108274,0.09613009468917255
#199,11.326388888888914,0.027999999999999997,#3-2,109306,100513,70,58217,5811,36415,100.00%,91.96%,0.06%,53.26%,5.32%,33.31%,100.00%,91.96%,0.07%,57.92%,5.78%,36.23%,4432.1,4752.4,4710.3,158.4,186.6,12825.6,6366.9,6856.8,11016.8,11372.5,226.0,687.6,53162.5,56482.7,80994.1,55369.0,45482.0,59971.6,38.38%,34.58%,50.27%,34.02%,34.35%,34.67%,0.3848114710568242,0.6151885289431758
#200,11.352777777777817,0.012,#4-1,110806,100490,21,21612,4026,74831,100.00%,90.69%,0.02%,19.50%,3.63%,67.53%,100.00%,90.69%,0.02%,21.51%,4.01%,74.47%,10017.3,10883.7,6543.5,141.6,220.9,14561.0,2744.6,2984.4,16458.1,11825.5,253.4,574.2,58182.0,62991.6,120873.1,59309.8,47841.9,64853.7,39.47%,34.68%,40.04%,34.27%,40.15%,34.06%,0.7758908105855387,0.22410918941446134
#201,11.375,0.042,#4-2,108634,100400,35,67733,4195,28437,100.00%,92.42%,0.03%,62.35%,3.86%,26.18%,100.00%,92.42%,0.03%,67.46%,4.18%,28.32%,3617.3,3858.0,5583.7,144.5,189.1,13241.9,7365.3,7896.9,12903.5,11403.1,264.9,665.3,53866.9,57389.6,162421.7,56311.8,46116.4,61490.4,36.50%,33.01%,28.77%,32.43%,33.44%,33.34%,0.2956775944873669,0.7043224055126331
#202,11.391666666666652,0.037000000000000005,#5-1,70791,62705,6,19403,2596,40700,100.00%,88.58%,0.01%,27.41%,3.67%,57.49%,100.00%,88.58%,0.01%,30.94%,4.14%,64.91%,8422.7,9337.2,7249.4,143.0,211.8,14302.6,3423.2,3558.6,16115.9,10318.3,263.4,544.4,55492.1,60785.7,200309.7,57896.7,48531.2,62924.1,39.04%,32.99%,72.56%,32.13%,34.04%,32.95%,0.6772039645279082,0.3227960354720918
#203,11.415277777777817,0.046,#5-2,80834,73363,11,56207,3426,13719,100.00%,90.76%,0.01%,69.53%,4.24%,16.97%,100.00%,90.76%,0.01%,76.61%,4.67%,18.70%,2485.2,2694.2,5414.0,132.7,196.6,13810.4,7408.9,8060.0,12957.6,10356.7,295.9,585.3,53290.7,57339.4,90815.6,56662.4,47625.1,62511.9,37.14%,32.80%,38.49%,32.52%,31.52%,33.06%,0.19620186758996955,0.8037981324100305
