Experiment Name:,Exp_20201002__down_shift_RDM_Gly_MOPS_gly

Tube Name:,Abort(%):,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P1 AND NOT(H2-LL) Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P1 AND NOT(H2-LL) Mean ECD-A,All Events  Mean Green-H,V1L Mean Green-H,V1R Mean Green-H,P1 Mean Green-H,H1-UR Mean Green-H,H1-UL Mean Green-H,H1-LL Mean Green-H,H1-LR Mean Green-H,H2-UR Mean Green-H,H2-UL Mean Green-H,H2-LL Mean Green-H,H2-LR Mean Green-H,P1 AND NOT(H2-LL) Mean Green-H,All Events  Mean Red-H,V1L Mean Red-H,V1R Mean Red-H,P1 Mean Red-H,H1-UR Mean Red-H,H1-UL Mean Red-H,H1-LL Mean Red-H,H1-LR Mean Red-H,H2-UR Mean Red-H,H2-UL Mean Red-H,H2-LL Mean Red-H,H2-LR Mean Red-H,P1 AND NOT(H2-LL) Mean Red-H,All Events  Median Red-H,V1L Median Red-H,V1R Median Red-H,P1 Median Red-H,H1-UR Median Red-H,H1-UL Median Red-H,H1-LL Median Red-H,H1-LR Median Red-H,H2-UR Median Red-H,H2-UL Median Red-H,H2-LL Median Red-H,H2-LR Median Red-H,P1 AND NOT(H2-LL) Median Red-H
25,0.84,17615.3,87.6,17374.8,17279.8,####,17375.5,94.9,448.2,####,17377.2,133.6,####,17377.2,304.8,103.7,293.9,292.9,####,293.9,100.0,1366.6,####,294.0,101.1,####,294.0,377.1,12.0,360.8,358.9,####,360.8,12.2,5.1,####,360.9,12.7,####,360.9,15.6,15.7,14.2,14.2,####,14.2,15.6,12.9,####,14.2,15.5,####,14.2,13.5,13.7,13.3,13.3,####,13.3,13.7,12.9,####,13.3,13.5,####,13.3
26,0.76,5758.0,151.7,6152.5,6125.5,####,6153.9,208.4,####,####,6155.0,291.5,####,6155.0,104.4,61.7,104.9,104.7,####,104.9,59.0,####,####,104.9,59.1,####,104.9,121.3,10.6,106.7,106.3,####,106.7,11.8,####,####,106.7,12.0,####,106.7,9.9,12.3,7.9,7.9,####,7.9,11.9,####,####,7.9,11.6,####,7.9,7.7,9.6,7.4,7.4,####,7.4,9.1,####,####,7.4,8.8,####,7.4
27,1.00,22135.8,63.6,22228.1,22071.8,####,22229.7,73.5,104.4,####,22230.8,93.1,####,22230.8,283.8,43.6,273.5,271.9,####,273.5,41.2,1803.9,####,273.5,43.6,####,273.5,561.2,13.4,555.2,551.4,####,555.2,13.7,12.7,####,555.3,13.9,####,555.3,18.0,16.7,17.0,17.0,####,17.0,16.6,91.7,####,17.0,16.6,####,17.0,15.9,13.9,15.7,15.7,####,15.7,13.9,91.7,####,15.7,13.7,####,15.7
28,1.20,6181.2,190.4,6425.7,6408.8,####,6427.0,256.8,####,####,6427.1,279.8,####,6427.1,86.7,66.8,87.7,87.7,####,87.7,62.9,####,####,87.7,66.2,####,87.7,163.4,11.8,150.7,150.3,####,150.7,13.2,####,####,150.7,13.2,####,150.7,11.5,12.2,10.2,10.2,####,10.2,11.9,####,####,10.2,11.9,####,10.2,9.6,10.1,9.4,9.4,####,9.4,9.8,####,####,9.4,9.7,####,9.4
29,1.13,33037.8,50.3,32237.2,32083.0,####,32240.4,67.2,979.9,####,32237.1,54.4,####,32237.1,470.8,34.7,455.2,453.2,####,455.2,35.0,1870.5,####,455.1,39.6,####,455.1,893.5,14.4,868.1,864.0,####,868.2,15.2,9.8,####,868.1,14.0,####,868.1,23.1,17.5,22.7,22.6,####,22.7,17.5,15.3,####,22.7,17.5,####,22.7,21.3,14.6,21.2,21.1,####,21.2,14.6,15.3,####,21.2,14.6,####,21.2
30,3.70,9891.2,97.5,10146.6,10112.4,####,10150.5,202.4,####,####,10148.1,156.0,####,10148.1,103.1,33.4,104.4,104.1,####,104.4,33.5,####,####,104.4,33.9,####,104.4,425.8,19.1,412.3,411.0,####,412.5,27.7,####,####,412.4,19.9,####,412.4,18.8,21.4,18.0,18.0,####,18.0,21.3,####,####,18.0,20.9,####,18.0,16.6,18.2,16.4,16.4,####,16.4,18.2,####,####,16.4,17.8,####,16.4
31,2.21,35597.6,61.1,36019.2,35848.9,####,36021.1,73.6,####,####,36019.1,76.0,####,36019.1,466.1,21.2,469.4,467.3,####,469.4,22.2,####,####,469.4,25.5,####,469.4,1104.8,17.1,1015.9,1011.2,####,1016.0,17.7,####,####,1015.9,16.7,####,1015.9,27.8,19.9,25.6,25.6,####,25.6,19.9,####,####,25.6,19.9,####,25.6,24.6,17.4,24.1,24.0,####,24.1,17.4,####,####,24.1,17.3,####,24.1
32,2.91,11536.8,103.4,12237.6,12130.8,####,12241.6,137.7,615.9,####,12240.0,134.0,####,12240.0,156.3,75.9,155.1,154.4,####,155.2,68.1,1687.8,####,155.1,74.2,####,155.1,533.4,20.7,530.2,525.8,####,530.4,22.7,14.7,####,530.4,21.3,####,530.4,21.7,23.4,20.7,20.8,####,20.7,23.1,39.2,####,20.7,23.1,####,20.7,19.4,20.2,19.0,19.1,####,19.1,19.7,32.8,####,19.1,19.5,####,19.1
33,1.86,44993.8,49.3,46434.0,46081.7,####,46436.6,56.8,44.3,####,46436.0,58.6,####,46436.0,791.1,19.3,820.4,814.3,####,820.4,14.6,1676.6,####,820.4,19.6,####,820.4,1414.0,13.9,1313.1,1303.2,####,1313.2,14.0,26.9,####,1313.1,13.8,####,1313.1,38.9,16.3,36.9,36.7,####,36.9,16.0,125.8,####,36.9,16.3,####,36.9,35.6,14.3,35.1,34.9,####,35.1,14.3,125.8,####,35.1,14.2,####,35.1
34,2.88,12817.4,109.5,13819.4,13720.5,####,13821.7,131.7,####,####,13823.0,156.4,####,13823.0,356.3,33.7,335.0,332.8,####,335.0,33.0,####,####,335.0,35.4,####,335.0,610.0,17.5,620.4,616.0,####,620.5,18.6,####,####,620.5,19.1,####,620.5,29.6,18.8,28.9,28.9,####,28.9,18.8,####,####,28.9,18.7,####,28.9,27.0,16.7,26.9,26.8,####,26.9,16.6,####,####,26.9,16.6,####,26.9
