Tube Name:,strain_number,Sample ID:,All Events ,P1 Events,V1L Events,V1R Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,P2 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,H1-UR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,P2 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,H1-UR % Parent,H1-UL % Parent,H1-LL % Parent,H1-LR % Parent,P2 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,P2 Mean FITC-A,All Events  rCV FITC-A,P1 rCV FITC-A,V1L rCV FITC-A,V1R rCV FITC-A,H1-UR rCV FITC-A,H1-UL rCV FITC-A,H1-LL rCV FITC-A,H1-LR rCV FITC-A,P2 rCV FITC-A
01-Well-C5,1,,200000,193641,6529,193471,4,0,32854,81815,114673,100.00%,96.82%,3.26%,96.74%,0.00%,0.00%,16.43%,40.91%,57.34%,100.00%,96.82%,3.26%,96.74%,0.00%,0.00%,28.65%,71.35%,57.34%,19175,19563.9,1265.6,19779.4,37164.4,####,10497.4,23754.6,19956.9,41.68%,40.67%,164.50%,40.16%,8.50%,####,19.62%,31.54%,41.46%
01-Well-C6,1,,200000,194479,22556,177444,3,1,79345,15981,95330,100.00%,97.24%,11.28%,88.72%,0.00%,0.00%,39.67%,7.99%,47.66%,100.00%,97.24%,11.28%,88.72%,0.00%,0.00%,83.23%,16.76%,47.66%,9623.3,9794.6,2889.7,10479.3,23863.5,3298.9,7685.7,19433.6,9655.6,48.18%,47.11%,31.14%,42.17%,2.29%,0.00%,42.24%,21.79%,49.75%
01-Well-C7,1,,200000,193654,4044,195956,1,3,3152,141308,144464,100.00%,96.83%,2.02%,97.98%,0.00%,0.00%,1.58%,70.65%,72.23%,100.00%,96.83%,2.02%,97.98%,0.00%,0.00%,2.18%,97.82%,72.23%,67661.4,69280.5,378.8,69049.9,15138.2,7749.4,6381.8,71725.5,70298.1,34.36%,33.31%,219.36%,33.51%,0.00%,45.73%,68.90%,32.81%,33.69%
01-Well-C8,1,,200000,191726,3076,196924,4,1,1715,85315,87035,100.00%,95.86%,1.54%,98.46%,0.00%,0.00%,0.86%,42.66%,43.52%,100.00%,95.86%,1.54%,98.46%,0.00%,0.00%,1.97%,98.02%,43.52%,33062,33745.4,890.2,33564.5,20195.8,11583.1,7410.6,35218.3,34669.4,39.48%,38.78%,192.26%,38.83%,15.90%,0.00%,73.93%,38.80%,39.60%
01-Well-C9,1,,200000,191021,3644,196356,3,4,1874,88757,90638,100.00%,95.51%,1.82%,98.18%,0.00%,0.00%,0.94%,44.38%,45.32%,100.00%,95.51%,1.82%,98.18%,0.00%,0.00%,2.07%,97.92%,45.32%,59879.3,61393.7,431.6,60982.6,75274.9,4457.6,3604.5,64345.8,63087.7,40.30%,39.40%,195.23%,39.52%,66.68%,102.29%,178.00%,40.30%,41.19%
01-Well-C10,1,,200000,192873,3861,196139,3,4,2444,87786,90237,100.00%,96.44%,1.93%,98.07%,0.00%,0.00%,1.22%,43.89%,45.12%,100.00%,96.44%,1.93%,98.07%,0.00%,0.00%,2.71%,97.28%,45.12%,63000,64410,425.5,64231.8,66104.9,4284.3,4171.9,66491.1,64800.5,40.59%,39.59%,183.91%,39.70%,50.77%,26.43%,172.77%,39.51%,40.78%
01-Well-C11,1,,200000,192567,85893,114107,5,2,146337,1859,148203,100.00%,96.28%,42.95%,57.05%,0.00%,0.00%,73.17%,0.93%,74.10%,100.00%,96.28%,42.95%,57.05%,0.00%,0.00%,98.74%,1.25%,74.10%,5382.7,5523.4,3304.8,6946.7,23568.7,7638.3,5213.8,23818.7,5447.8,37.98%,36.64%,23.26%,23.63%,23.44%,87.11%,37.32%,16.65%,37.78%
01-Well-C12,1,,200000,171352,199855,145,1,2,52514,4,52521,100.00%,85.68%,99.93%,0.07%,0.00%,0.00%,26.26%,0.00%,26.26%,100.00%,85.68%,99.93%,0.07%,0.00%,0.00%,99.99%,0.01%,26.26%,273.8,289.4,256,24721.7,311649.9,3274.5,261.2,33971.9,269.8,111.03%,103.43%,111.00%,72.52%,0.00%,49.29%,116.06%,42.84%,116.06%
01-Well-D1,1,,200000,191802,199174,826,6,4,106220,308,106538,100.00%,95.90%,99.59%,0.41%,0.00%,0.00%,53.11%,0.15%,53.27%,100.00%,95.90%,99.59%,0.41%,0.01%,0.00%,99.70%,0.29%,53.27%,938.8,958.1,764.7,42901.1,31561.2,8042,784.3,59366.6,955.7,55.72%,53.67%,55.56%,78.28%,53.28%,67.80%,56.46%,82.18%,56.57%
01-Well-D2,1,,200000,191768,7349,192651,2,7,31108,83938,115055,100.00%,95.88%,3.67%,96.33%,0.00%,0.00%,15.55%,41.97%,57.53%,100.00%,95.88%,3.67%,96.33%,0.00%,0.01%,27.04%,72.95%,57.53%,19314.1,19731.8,1386.2,19998,42301.4,4334.8,10407,23376.6,19869.1,39.67%,38.71%,135.15%,37.99%,38.76%,72.63%,18.41%,30.82%,39.70%
01-Well-D3,1,,200000,192152,199249,751,6,2,108748,111,108867,100.00%,96.08%,99.62%,0.38%,0.00%,0.00%,54.37%,0.06%,54.43%,100.00%,96.08%,99.62%,0.38%,0.01%,0.00%,99.89%,0.10%,54.43%,1254.3,1280.4,1203.2,14800.8,34005.6,1974.8,1232.7,35139.6,1269.1,48.51%,46.93%,48.35%,32.58%,6.85%,176.07%,49.08%,34.20%,49.12%
01-Well-D4,1,,200000,191415,4487,195513,4,1,2967,130500,133472,100.00%,95.71%,2.24%,97.76%,0.00%,0.00%,1.48%,65.25%,66.74%,100.00%,95.71%,2.24%,97.76%,0.00%,0.00%,2.22%,97.77%,66.74%,35804.8,36699,820.2,36607.7,52345.6,1071.2,4760.1,38012.1,37273.1,36.53%,35.63%,194.87%,35.59%,55.02%,0.00%,129.39%,35.46%,36.37%
