,Number,Time,OD600,Sample,Dilution_Factor,Time_h,Tube Name:,Abort(%):,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P1 AND NOT(H2-LL) Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P1 AND NOT(H2-LL) Mean ECD-A,All Events  Mean Green-H,V1L Mean Green-H,V1R Mean Green-H,P1 Mean Green-H,H1-UR Mean Green-H,H1-UL Mean Green-H,H1-LL Mean Green-H,H1-LR Mean Green-H,H2-UR Mean Green-H,H2-UL Mean Green-H,H2-LL Mean Green-H,H2-LR Mean Green-H,P1 AND NOT(H2-LL) Mean Green-H,All Events  Mean Red-H,V1L Mean Red-H,V1R Mean Red-H,P1 Mean Red-H,H1-UR Mean Red-H,H1-UL Mean Red-H,H1-LL Mean Red-H,H1-LR Mean Red-H,H2-UR Mean Red-H,H2-UL Mean Red-H,H2-LL Mean Red-H,H2-LR Mean Red-H,P1 AND NOT(H2-LL) Mean Red-H,All Events  Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P1 Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A,H2-UR Mean FSC-A,H2-UL Mean FSC-A,H2-LL Mean FSC-A,H2-LR Mean FSC-A,P1 AND NOT(H2-LL) Mean FSC-A,FCS,Growth Rate,Time_interp,Generation,Red Translation Efficiency,Green Translation Efficiency,Accumulated OD
20,22,2020-10-04 12:14:39,0.162,NCM,,4.2316666666666665,22,2.33,10402.1,100.9,10380.1,10331.2,,10392.9,198.3,,,10393.0,208.3,,10393.0,115.7,12.7,114.8,114.3,,114.9,16.6,,,114.9,17.8,,114.9,417.1,13.9,416.6,414.7,,417.1,18.4,,,417.1,17.8,,417.1,17.3,14.1,17.1,17.1,,17.1,14.5,,,17.1,14.3,,17.1,14282.5,13431.2,14102.2,14099.1,,14104.4,13213.9,,,14103.1,13443.3,,14103.1,True,0.4231674189949775,3.9347222222222222,8.339850002884624,12.601172888726714,409.8139021286575,41.472
21,21,2020-10-04 12:18:20,0.0621,MG,,4.293055555555555,21,0.63,23941.0,53.5,23176.7,23051.7,,23186.2,89.5,79.7,,23192.1,160.7,79.7,23187.1,311.0,561.8,296.8,298.2,,296.9,29.7,13590.6,,296.9,30.6,13590.6,299.8,641.2,14.2,639.3,635.9,,639.5,15.8,11.8,,639.7,17.3,11.8,639.5,19.7,36.3,19.4,19.5,,19.4,16.7,513.6,,19.4,16.4,513.6,19.5,22353.5,15540.7,21303.7,21272.5,,21305.7,15528.0,17659.0,,21304.0,16078.7,17659.0,21303.2,True,0.7348677464455863,3.9498611111111113,6.408084738829436,21.048720430761524,744.1682725787822,22.929230772288
22,24,2020-10-04 12:30:52,0.1853,NCM,,4.501944444444445,24,3.5,10530.7,94.3,10608.0,10547.6,,10621.7,183.1,,,10618.2,168.9,,10618.2,124.0,8.6,124.4,123.7,,124.5,10.3,,,124.5,9.9,,124.5,457.5,16.7,450.1,447.6,,450.6,21.7,,,450.5,19.3,,450.5,19.5,16.8,19.1,19.0,,19.1,17.1,,,19.1,16.6,,19.1,13936.1,12282.0,13993.5,13983.6,,13997.5,12037.8,,,13994.4,12393.2,,13994.4,True,0.4971914419446539,4.366805555555556,8.533719071139902,16.422441579688982,339.69958038935215,47.4368
23,23,2020-10-04 12:38:38,0.0744,MG,,4.631388888888889,23,0.84,27973.0,73.2,26938.4,26824.3,,26952.2,128.4,52.0,,26952.8,164.0,32.4,26946.5,381.0,869.1,362.6,364.8,,362.7,41.1,13983.7,,362.7,51.9,15051.1,366.2,756.4,13.6,750.9,747.7,,751.2,16.1,11.2,,751.3,15.4,11.1,751.1,21.9,50.1,21.5,21.6,,21.5,16.0,585.8,,21.5,15.9,630.6,21.7,22121.4,16368.4,20892.7,20873.5,,20892.7,16816.8,17496.8,,20889.6,17568.7,16857.8,20888.6,True,0.5341180873880194,4.4622222222222225,6.668794091716986,17.546834182418195,703.0774211180326,27.470769234431998
24,25,2020-10-04 13:29:44,0.1146,MG,,5.483055555555556,25,2.3,39488.4,41.4,39265.0,38977.0,,39284.7,73.6,77.2,,39295.0,132.7,77.2,39285.1,526.1,592.7,518.9,519.4,,519.2,5.8,17082.5,,519.3,8.2,17082.5,523.5,1150.2,13.8,1103.8,1095.8,,1104.4,15.5,12.9,,1104.7,16.6,12.9,1104.4,28.9,47.1,27.7,27.9,,27.7,16.2,911.0,,27.7,16.1,911.0,28.0,20597.1,24828.5,20518.8,20550.4,,20522.7,24347.5,15261.1,,20520.2,24525.9,15261.1,20518.9,True,0.5072311496378786,5.057222222222222,7.29202660936586,20.27342234150218,898.7995805804318,42.313846159488
25,26,2020-10-04 13:32:43,0.1198,NCM,2.8463901689999997,5.532777777777778,26,2.45,13669.0,87.2,13915.3,13807.4,,13937.0,164.4,,,13943.3,211.8,,13943.3,281.5,-0.7,286.2,283.9,,286.6,-0.1,,,286.7,2.6,,286.7,610.3,17.0,606.6,602.0,,607.5,21.1,,,607.8,22.2,,607.8,27.0,16.9,26.6,26.5,,26.6,17.0,,,26.6,16.9,,26.6,13929.1,12084.7,13952.8,13938.2,,13956.5,12018.2,,,13955.9,12168.5,,13955.9,True,0.5916563975525418,5.017361111111112,9.413617530777847,21.346456330048913,477.6953271109879,87.2953708150272
26,27,2020-10-04 14:16:19,0.135,MG,,6.259444444444444,27,1.74,39755.2,54.7,37970.1,37737.1,5061.0,37997.0,102.4,109.0,2450.9,38004.8,143.1,590.3,37994.1,913.4,1299.1,881.9,884.5,15661.0,875.9,-4.3,55746.7,10936.9,876.1,-2.2,52844.9,890.6,1220.5,14.9,1175.1,1168.0,283.6,1175.9,17.1,17.4,465.7,1176.1,18.1,30.9,1175.8,40.6,79.5,39.8,40.0,719.1,39.7,15.7,1831.8,925.2,39.7,15.6,1738.2,40.2,19396.1,18780.1,18719.4,18719.7,14853.9,18719.9,18905.8,13908.9,7395.0,18719.7,18919.0,14268.5,18718.4,True,0.21101148728731478,5.87125,7.528378972547148,22.970063534306256,333.11624786757227,49.8461538528
27,28,2020-10-04 14:18:35,0.195,NCM,,6.2972222222222225,28,1.34,14975.0,113.3,15201.5,15069.6,,15220.7,165.9,,,15224.9,193.3,,15224.9,345.5,13.5,350.8,347.9,,351.3,14.2,,,351.4,15.1,,351.4,643.8,17.5,637.5,632.0,,638.2,19.8,,,638.4,20.5,,638.4,28.1,16.6,27.8,27.7,,27.8,16.6,,,27.8,16.5,,27.8,14183.7,12071.4,14312.6,14293.0,,14315.5,12078.9,,,14314.9,12195.3,,14314.9,True,0.637294019758951,5.915,10.116463746626033,19.12289892340131,442.25906087414194,142.09179723648
28,29,2020-10-04 15:25:05,0.154,MG,,7.405555555555556,29,1.41,33851.9,52.1,31366.7,31156.2,,31383.0,86.5,142.5,,31391.3,145.5,139.7,31385.2,1378.5,1543.8,1303.7,1305.3,,1300.5,1.4,70167.0,,1300.8,3.2,73969.9,1314.9,1116.0,15.3,1062.9,1055.9,,1063.5,17.4,16.3,,1063.7,18.5,15.7,1063.5,63.7,99.6,61.7,62.0,,61.7,17.0,2986.3,,61.7,16.9,3146.6,62.3,18054.2,14466.0,17269.1,17250.3,,17270.8,14423.0,15107.6,,17266.8,15065.4,15420.9,17266.4,True,0.114890975838759,6.8325,7.718349916191219,25.21682339508411,30.53467336619184,56.86153846912
29,30,2020-10-04 15:29:27,0.1215,NCM,2.8343023260000004,7.4783333333333335,30,1.88,20070.3,52.9,22006.6,21299.5,,22024.7,63.7,,,22029.0,70.8,,22029.0,427.2,19.8,457.1,443.0,,457.4,20.7,,,457.5,21.1,,457.5,904.9,16.4,970.6,939.8,,971.3,16.8,,,971.5,17.1,,971.5,35.0,19.3,35.7,35.2,,35.7,19.3,,,35.7,19.3,,35.7,16478.5,11589.7,13480.7,13419.8,,13482.2,11592.6,,,13482.0,11607.8,,13482.0,True,0.4815046718627451,6.887777777777778,10.936939590630153,22.455488717147436,686.3330830977022,250.93246172648406
30,31,2020-10-04 16:15:41,0.172,MG,,8.248888888888889,31,1.48,42258.8,64.5,42779.2,42477.6,25146.9,42808.8,108.2,127.0,83604.9,42832.1,207.3,791.1,42821.2,1796.1,2524.5,1812.1,1817.1,67386.0,1809.6,4.8,78525.7,29383.4,1810.6,11.4,78709.0,1831.8,1290.2,15.8,1234.6,1226.0,665.8,1235.5,18.6,15.0,1091.2,1236.1,21.3,76.1,1235.8,80.4,135.5,76.6,77.0,2884.5,76.5,17.4,3735.9,410.9,76.5,17.3,3732.7,77.5,19554.5,14454.5,19614.5,19578.0,22941.7,19617.1,14536.8,14916.4,56323.2,19612.5,15461.7,14544.2,19611.5,True,0.13107732142271528,7.827222222222222,7.877828130198415,27.218222968107803,355.39022722633496,63.507692316159996
31,32,2020-10-04 16:18:13,0.18100000000000002,NCM,,8.29111111111111,32,2.41,24591.5,71.9,25194.8,24803.4,,25205.9,82.8,,,25206.4,85.1,,25206.4,475.7,-1.3,486.9,479.3,,487.1,-1.1,,,487.1,-1.3,,487.1,1062.4,17.0,1052.4,1036.2,,1052.8,17.4,,,1052.8,17.4,,1052.8,37.1,17.8,36.5,36.2,,36.5,17.8,,,36.5,17.7,,36.5,13919.1,11012.2,13915.7,13870.5,,13916.0,11072.9,,,13916.0,11079.9,,13916.0,True,0.4903957506995216,7.884722222222223,11.511972974107579,18.824596594977606,601.6665303331091,373.81708290118206
