Experiment Name:,Exp_20200331_1

Tube Name:,Sample ID:,All Events ,P1 Events,V1L Events,V1R Events,H2-UR Events,H2-UL Events,H2-LL Events,H2-LR Events,P2 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,H2-UR % Total,H2-UL % Total,H2-LL % Total,H2-LR % Total,P2 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,GR % Parent,mCherry % Parent,H2-LL % Parent,GFP % Parent,P2 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P2 Mean FITC-A,All Events  Mean ECD-A,P1 Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P2 Mean ECD-A,All Events  Mean FSC-A,P1 Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,H2-UR Mean FSC-A,H2-UL Mean FSC-A,H2-LL Mean FSC-A,H2-LR Mean FSC-A,P2 Mean FSC-A
#108-2,,112522,100000,69330,30670,7051,59895,2965,21279,91190,100.00%,88.87%,61.61%,27.26%,6.27%,53.23%,2.64%,18.91%,81.04%,100.00%,88.87%,69.33%,30.67%,7.73%,65.68%,3.25%,23.33%,91.19%,8852.8,9264.1,215.3,29719.3,5744.8,198.4,110.9,29664.7,7500.3,21000.2,22457.8,30805.8,3587.0,11013.3,31358.6,4098.8,917.4,21795.7,42710.1,44606.7,42534.6,49290.6,43347.4,41081.4,36317.3,43056.1,41562.5
#109-1,,114570,100000,45682,54318,8990,37538,2626,39680,88834,100.00%,87.28%,39.87%,47.41%,7.85%,32.76%,2.29%,34.63%,77.54%,100.00%,87.28%,45.68%,54.32%,10.12%,42.26%,2.96%,44.67%,88.83%,15985.3,16921.4,248.8,30943.3,6455.7,224.5,176.1,29553.8,13954.3,13836.0,14940.1,29648.7,2569.9,10441.6,31182.9,2005.9,895.3,14692.6,46098.2,48397.4,44677.3,51526.1,44922.0,42649.6,37875.1,44772.7,43686.8
#109-2,,113895,100000,45426,54574,9266,37304,2811,39715,89096,100.00%,87.80%,39.88%,47.92%,8.14%,32.75%,2.47%,34.87%,78.23%,100.00%,87.80%,45.43%,54.57%,10.40%,41.87%,3.16%,44.58%,89.10%,16300.2,17080.3,247.7,31091.3,6435.1,223.1,172.0,29582.9,13954.8,13944.5,14927.9,29657.8,2667.2,10724.4,31366.5,1960.0,900.3,14711.4,46808.2,48525.2,44749.8,51667.8,45070.5,42847.2,37818.0,44606.4,43703.9
#110-1,,112112,100000,45458,54542,9465,37745,2791,39872,89873,100.00%,89.20%,40.55%,48.65%,8.44%,33.67%,2.49%,35.56%,80.16%,100.00%,89.20%,45.46%,54.54%,10.53%,42.00%,3.11%,44.36%,89.87%,15911.4,16616.7,232.1,30272.5,6624.7,208.9,170.0,29145.6,13721.1,13956.2,14847.1,29370.1,2743.0,10732.2,30873.1,2520.4,887.9,14568.6,44448.2,46377.1,42490.4,49616.4,43548.8,40926.8,36769.1,43428.0,42183.5
#110-2,,112537,100000,45803,54197,9153,37805,2964,39649,89571,100.00%,88.86%,40.70%,48.16%,8.13%,33.59%,2.63%,35.23%,79.59%,100.00%,88.86%,45.80%,54.20%,10.22%,42.21%,3.31%,44.27%,89.57%,15830.1,16612.9,229.6,30458.8,6680.5,206.8,174.5,29089.9,13652.5,14073.6,15029.1,29570.9,2739.6,10589.9,31126.2,2175.9,888.3,14684.7,44220.3,46009.6,42041.0,49363.5,43280.1,40587.3,36267.8,43040.4,41805.4
#111-1,,113362,100000,24260,75740,5905,19066,2401,58413,85785,100.00%,88.21%,21.40%,66.81%,5.21%,16.82%,2.12%,51.53%,75.67%,100.00%,88.21%,24.26%,75.74%,6.88%,22.23%,2.80%,68.09%,85.79%,37610.8,38257.7,254.5,50430.4,13640.9,225.4,304.5,41005.8,28919.4,12468.3,13290.4,47327.3,2388.2,14698.0,52064.9,259.6,926.4,13221.4,52212.4,53073.2,46056.5,55320.7,45713.1,42895.8,39709.8,44646.5,44192.6
#111-2,,116550,100000,24545,75455,5793,19136,2547,58210,85686,100.00%,85.80%,21.06%,64.74%,4.97%,16.42%,2.19%,49.94%,73.52%,100.00%,85.80%,24.55%,75.45%,6.76%,22.33%,2.97%,67.93%,85.69%,36255.4,38147.4,251.3,50474.8,13562.4,224.9,292.0,41293.8,29028.4,12034.6,13342.0,47016.3,2387.9,14741.3,52402.7,302.3,927.4,13338.6,51339.8,52096.2,45207.1,54337.2,45743.4,42549.8,38928.2,44226.3,43797.0
#112-1,,116638,100000,24750,75250,5868,19701,2246,58188,86003,100.00%,85.74%,21.22%,64.52%,5.03%,16.89%,1.93%,49.89%,73.73%,100.00%,85.74%,24.75%,75.25%,6.82%,22.91%,2.61%,67.66%,86.00%,35760.3,37688.6,254.9,50000.7,13416.4,228.9,306.7,40854.4,28617.2,12401.0,13643.6,47810.7,2405.9,14887.2,51821.1,290.1,917.4,13514.9,49945.8,52331.9,45298.8,54645.2,45477.0,42508.0,39439.2,44309.6,43849.4
#112-2,,114672,100000,25046,74954,5918,19750,2416,58455,86539,100.00%,87.21%,21.84%,65.36%,5.16%,17.22%,2.11%,50.98%,75.47%,100.00%,87.21%,25.05%,74.95%,6.84%,22.82%,2.79%,67.55%,86.54%,36188.1,37508.7,252.5,49957.9,13180.7,224.7,289.4,40996.2,28652.7,12178.0,13190.9,45557.7,2375.4,15137.8,49871.0,315.9,892.8,13028.7,50325.9,51948.1,44975.2,54278.1,45457.4,42079.5,38894.2,44080.9,43573.5
#113-1,,117039,100000,24157,75843,14337,17858,2165,51456,85816,100.00%,85.44%,20.64%,64.80%,12.25%,15.26%,1.85%,43.96%,73.32%,100.00%,85.44%,24.16%,75.84%,16.71%,20.81%,2.52%,59.96%,85.82%,21639.2,23286.8,302.3,30607.7,8142.2,261.6,245.1,29667.3,19209.7,9270.0,10217.3,32725.1,3048.3,11142.2,36396.8,549.9,922.6,10002.6,46361.0,49927.8,45156.9,51447.4,45107.1,42950.6,40446.4,44869.5,44398.3
#113-2,,111824,100000,24201,75799,14504,18401,2271,53090,88266,100.00%,89.43%,21.64%,67.78%,12.97%,16.46%,2.03%,47.48%,78.93%,100.00%,89.43%,24.20%,75.80%,16.43%,20.85%,2.57%,60.15%,88.27%,22329.2,23213.9,291.9,30532.4,8252.4,252.7,219.1,29824.7,19353.3,9506.9,10068.7,32158.1,3016.0,10979.1,35996.5,645.5,912.8,9874.0,47265.5,49279.4,44511.1,50801.8,44821.1,42557.8,40051.8,44437.7,43996.0
#114-1,,111857,100000,24079,75921,14938,18405,2123,52442,87908,100.00%,89.40%,21.53%,67.87%,13.35%,16.45%,1.90%,46.88%,78.59%,100.00%,89.40%,24.08%,75.92%,16.99%,20.94%,2.42%,59.66%,87.91%,22420.5,23209.6,298.8,30476.0,8250.9,257.1,234.7,29569.2,19101.2,9645.8,10178.7,32471.0,3108.5,11042.2,35934.6,672.7,920.7,9965.4,48483.4,50209.4,45064.2,51841.3,45081.8,42784.5,39717.1,44992.8,44418.2
#114-2,,113545,100000,24614,75386,14672,18562,2439,53047,88720,100.00%,88.07%,21.68%,66.39%,12.92%,16.35%,2.15%,46.72%,78.14%,100.00%,88.07%,24.61%,75.39%,16.54%,20.92%,2.75%,59.79%,88.72%,21964.2,23074.5,297.2,30511.5,8001.2,257.5,231.6,29964.5,19299.6,9456.8,10048.4,31807.4,2943.9,10994.7,35908.2,480.0,919.8,9894.1,47052.5,49176.8,44638.5,50658.6,44566.5,42536.6,39563.6,44646.8,44052.2
#115-1,,112299,100000,43392,56608,18432,35100,2321,32975,88828,100.00%,89.05%,38.64%,50.41%,16.41%,31.26%,2.07%,29.36%,79.10%,100.00%,89.05%,43.39%,56.61%,20.75%,39.51%,2.61%,37.12%,88.83%,14468.6,14918.7,282.0,26138.2,6466.0,243.3,201.4,28753.3,12117.0,15620.6,16495.7,31949.3,4650.0,11575.0,33625.4,1498.7,922.7,16070.5,47092.6,48947.0,45252.0,51779.4,45257.6,43192.4,39368.3,45079.0,44221.4
#115-2,,125527,100000,43292,56708,19266,36568,2267,35191,93292,100.00%,79.66%,34.49%,45.18%,15.35%,29.13%,1.81%,28.03%,74.32%,100.00%,79.66%,43.29%,56.71%,20.65%,39.20%,2.43%,37.72%,93.29%,14130.9,14051.6,278.8,24566.0,6484.9,242.5,203.5,29872.7,12707.6,15498.5,16743.4,33020.5,4317.1,11676.2,34934.8,1242.1,966.3,16499.5,45658.2,47024.1,45111.6,48484.1,45346.0,43809.6,41017.9,45488.8,44692.5
#116-1,,122176,100000,43934,56066,19122,37198,2677,35041,94038,100.00%,81.85%,35.96%,45.89%,15.65%,30.45%,2.19%,28.68%,76.97%,100.00%,81.85%,43.93%,56.07%,20.33%,39.56%,2.85%,37.26%,94.04%,13557.1,13368.8,279.3,23625.9,6310.3,242.9,212.3,28442.8,11983.8,15231.0,16234.7,31310.6,4421.0,11658.0,33394.4,1442.2,928.7,15967.3,44736.7,45221.6,42775.1,47138.7,43699.6,41709.3,39013.5,43924.8,42862.8
#116-2,,119084,100000,43486,56514,18867,36534,2214,34359,91974,100.00%,83.97%,36.52%,47.46%,15.84%,30.68%,1.86%,28.85%,77.23%,100.00%,83.97%,43.49%,56.51%,20.51%,39.72%,2.41%,37.36%,91.97%,14126.8,14373.6,284.8,25214.5,6383.7,250.0,194.7,29164.4,12308.5,15189.1,16438.1,32179.1,4325.8,11471.4,33905.1,1332.0,945.1,16206.1,45197.8,46900.3,44089.1,49063.5,44635.4,42767.8,39316.1,44706.6,43792.1
#117-1,,115306,100000,60495,39505,14333,51664,2564,23339,91900,100.00%,86.73%,52.46%,34.26%,12.43%,44.81%,2.22%,20.24%,79.70%,100.00%,86.73%,60.50%,39.50%,15.60%,56.22%,2.79%,25.40%,91.90%,10002.6,9722.7,250.6,24227.6,5617.2,222.9,161.2,29038.4,8380.5,20287.3,21268.9,31957.9,4900.7,11852.7,33014.4,2391.7,957.9,20718.5,45465.9,45951.8,43948.1,49020.0,44726.2,42526.7,37577.7,44465.5,43224.0
#117-2,,117362,100000,60661,39339,14085,51591,2875,23439,91990,100.00%,85.21%,51.69%,33.52%,12.00%,43.96%,2.45%,19.97%,78.38%,100.00%,85.21%,60.66%,39.34%,15.31%,56.08%,3.13%,25.48%,91.99%,9664.3,9609.5,249.8,24042.3,5614.1,223.6,154.1,29038.4,8388.8,19915.3,21120.7,31682.5,4834.4,11908.5,32948.2,2349.2,955.3,20618.6,43988.8,45028.5,43123.9,47965.4,43842.0,41841.0,37277.1,43809.9,42506.4
#118-1,,117168,100000,60337,39663,14198,51266,2381,23187,91032,100.00%,85.35%,51.50%,33.85%,12.12%,43.75%,2.03%,19.79%,77.69%,100.00%,85.35%,60.34%,39.66%,15.60%,56.32%,2.62%,25.47%,91.03%,9696.6,9565.0,246.4,23740.8,5599.3,219.3,140.5,28960.2,8377.0,19673.0,20928.5,31536.5,4791.1,11588.3,32623.4,2870.3,951.5,20497.1,43578.6,44924.8,42968.2,47901.3,43631.6,41803.9,37176.2,44064.1,42543.6
#118-2,,115343,100000,61216,38784,14038,51737,2646,22852,91273,100.00%,86.70%,53.07%,33.62%,12.17%,44.85%,2.29%,19.81%,79.13%,100.00%,86.70%,61.22%,38.78%,15.38%,56.68%,2.90%,25.04%,91.27%,9641.7,9706.4,254.1,24625.8,5374.1,227.6,149.0,29497.6,8345.2,20096.4,21134.7,31607.1,4605.3,11554.7,32862.2,2382.1,961.2,20714.4,44757.6,45227.1,43361.8,48171.1,43873.8,42243.8,37355.3,44072.0,42810.5
#119-1,,113613,100000,36407,63593,16242,29733,2163,41871,90009,100.00%,88.02%,32.04%,55.97%,14.30%,26.17%,1.90%,36.85%,79.22%,100.00%,88.02%,36.41%,63.59%,18.04%,33.03%,2.40%,46.52%,90.01%,17455.6,17418.0,269.4,27235.5,6968.8,232.5,210.8,28998.5,14829.1,13258.4,13956.1,31769.3,3758.0,11406.7,33825.4,1509.2,911.6,13692.3,47048.1,47171.1,43474.4,49287.5,44355.6,42093.1,38183.1,44262.4,43416.5
#119-2,,114741,100000,37195,62805,15950,30089,2355,41756,90150,100.00%,87.15%,32.42%,54.74%,13.90%,26.22%,2.05%,36.39%,78.57%,100.00%,87.15%,37.20%,62.81%,17.69%,33.38%,2.61%,46.32%,90.15%,17314.0,17476.1,276.0,27662.4,6623.9,239.8,199.6,29571.0,14954.0,13352.2,14044.7,31749.1,3559.6,11496.7,34005.3,1244.7,927.6,13846.1,46486.6,47194.0,43834.4,49183.7,44226.3,42433.3,38057.3,44629.1,43653.3
#120-1,,116810,100000,36941,63059,16054,29714,2794,42163,90725,100.00%,85.61%,31.62%,53.98%,13.74%,25.44%,2.39%,36.10%,77.67%,100.00%,85.61%,36.94%,63.06%,17.70%,32.75%,3.08%,46.47%,90.72%,16415.2,17165.0,268.3,27063.4,6723.3,234.6,214.1,28788.7,14652.2,12776.7,13720.4,30960.5,3620.9,11370.0,33737.6,1038.0,918.2,13520.3,43030.9,44910.8,41330.0,47008.4,42361.9,40323.3,36515.2,42592.1,41621.2
#120-2,,116845,100000,37275,62725,16090,30061,2806,41620,90577,100.00%,85.58%,31.90%,53.68%,13.77%,25.73%,2.40%,35.62%,77.52%,100.00%,85.58%,37.28%,62.73%,17.76%,33.19%,3.10%,45.95%,90.58%,16418.0,17151.9,265.8,27186.6,6775.2,232.7,198.6,28918.7,14575.0,12962.7,14029.6,31393.1,3711.2,11377.5,34190.9,1094.3,919.4,13824.8,43353.4,45023.9,41524.9,47103.2,42495.4,40563.5,36681.2,42669.8,41754.2
#121-1,,118513,100000,28092,71908,3935,23561,2721,60070,90287,100.00%,84.38%,23.70%,60.68%,3.32%,19.88%,2.30%,50.69%,76.18%,100.00%,84.38%,28.09%,71.91%,4.36%,26.10%,3.01%,66.53%,90.29%,35082.2,33723.6,207.8,46817.0,14408.8,190.9,271.8,40214.1,27441.4,14113.7,14888.7,47558.9,2125.6,15406.2,51358.1,452.2,919.7,14699.2,52848.2,50973.8,46812.7,52599.4,47747.7,44580.8,41101.6,44761.4,44734.1
#121-2,,116895,100000,28362,71638,4032,23800,2855,60312,90999,100.00%,85.55%,24.26%,61.28%,3.45%,20.36%,2.44%,51.60%,77.85%,100.00%,85.55%,28.36%,71.64%,4.43%,26.15%,3.14%,66.28%,91.00%,35026.6,33816.1,206.2,47122.5,14437.8,187.3,273.1,40541.2,27567.0,14161.4,14720.1,46600.5,2098.4,14357.3,50481.8,400.4,924.9,14464.8,53268.7,50248.1,46091.1,51893.8,47026.4,43730.1,40960.3,44253.9,44136.4
#122-1,,114159,100000,31769,68231,10512,27626,2558,54176,94872,100.00%,87.60%,27.83%,59.77%,9.21%,24.20%,2.24%,47.46%,83.11%,100.00%,87.60%,31.77%,68.23%,11.08%,29.12%,2.70%,57.10%,94.87%,19681.0,19602.9,233.4,28621.6,7358.6,217.5,191.1,28474.7,17144.1,10255.0,10705.3,29000.2,2187.1,8809.8,31247.5,1568.6,836.7,10595.3,46141.0,46183.1,43064.3,47635.3,43782.2,41911.7,38947.8,43281.6,42821.3
#122-2,,114262,100000,31771,68229,10649,27474,2734,54255,95112,100.00%,87.52%,27.81%,59.71%,9.32%,24.04%,2.39%,47.48%,83.24%,100.00%,87.52%,31.77%,68.23%,11.20%,28.89%,2.87%,57.04%,95.11%,19392.8,19284.8,228.9,28158.2,7638.2,214.5,182.8,28444.4,17148.0,10345.3,10798.4,29396.7,2138.1,8731.6,31919.0,1578.3,838.8,10721.6,45655.1,45604.8,42806.1,46908.0,43471.0,41925.0,38532.7,43102.1,42672.0
#123-1,,113089,100000,53094,46906,12395,47966,2974,32518,95853,100.00%,88.43%,46.95%,41.48%,10.96%,42.41%,2.63%,28.75%,84.76%,100.00%,88.43%,53.09%,46.91%,12.93%,50.04%,3.10%,33.92%,95.85%,12493.0,12158.0,217.9,25673.2,7183.8,208.7,148.6,28525.7,10715.3,16533.7,17082.3,29638.4,2869.7,8071.5,30797.6,2850.2,848.2,16831.4,45523.0,45539.8,43733.0,47585.0,44357.8,42830.0,37885.3,43545.2,43116.8
#123-2,,113638,100000,53304,46696,12373,47934,3276,32571,96154,100.00%,88.00%,46.91%,41.09%,10.89%,42.18%,2.88%,28.66%,84.61%,100.00%,88.00%,53.30%,46.70%,12.87%,49.85%,3.41%,33.87%,96.15%,12042.0,11952.3,215.7,25349.8,7028.7,207.5,143.3,28249.0,10581.8,16143.5,16778.4,28972.4,2858.7,7985.3,30432.6,2887.8,839.0,16581.2,44070.2,44516.9,42867.0,46400.4,43714.5,42171.9,37423.5,42670.3,42377.5
#124-1,,112798,100000,69173,30827,8213,63045,3544,21273,96075,100.00%,88.65%,61.32%,27.33%,7.28%,55.89%,3.14%,18.86%,85.17%,100.00%,88.65%,69.17%,30.83%,8.55%,65.62%,3.69%,22.14%,96.07%,8300.8,8067.1,201.4,25716.8,6790.6,196.8,106.8,28655.1,7058.4,20551.9,21270.9,29368.3,3101.1,8159.1,30051.5,4294.5,838.6,20761.5,44588.1,44995.1,43803.2,47669.4,44541.8,42849.0,37115.2,43418.3,42908.3
#124-2,,112581,100000,69084,30916,8111,62902,3766,21471,96250,100.00%,88.82%,61.36%,27.46%,7.20%,55.87%,3.35%,19.07%,85.49%,100.00%,88.82%,69.08%,30.92%,8.43%,65.35%,3.91%,22.31%,96.25%,8370.1,8162.7,198.8,25958.5,6955.6,194.4,110.1,28889.1,7161.9,20398.2,21148.3,29335.0,2854.6,8040.7,30211.1,3829.8,839.1,20758.4,43581.8,44123.0,42971.9,46695.2,43861.2,42080.6,37101.8,42599.8,42151.6
#125-1,,113393,100000,45934,54066,10448,41191,2647,41046,95332,100.00%,88.19%,40.51%,47.68%,9.21%,36.33%,2.33%,36.20%,84.07%,100.00%,88.19%,45.93%,54.07%,10.96%,43.21%,2.78%,43.06%,95.33%,15343.3,14856.9,221.6,27290.9,7318.7,212.7,154.6,28427.9,13138.2,14086.4,14545.6,28841.7,2399.7,8189.6,30065.8,2930.6,825.8,14325.3,46840.9,46309.2,44218.4,48085.5,44719.5,43142.7,38917.9,43982.1,43559.6
#125-2,,113352,100000,45618,54382,10513,40990,2647,41431,95581,100.00%,88.22%,40.24%,47.98%,9.27%,36.16%,2.34%,36.55%,84.32%,100.00%,88.22%,45.62%,54.38%,11.00%,42.89%,2.77%,43.35%,95.58%,15290.1,14925.8,219.2,27262.4,7265.4,209.6,153.4,28430.8,13217.0,14066.6,14524.1,29056.8,2333.4,8119.8,30253.4,2765.4,829.1,14303.2,45880.8,45520.3,43489.2,47224.1,44003.2,42539.0,37891.2,43369.6,42931.3
#126-1,,118013,100000,26712,73288,5757,22104,3120,61872,92853,100.00%,84.74%,22.63%,62.10%,4.88%,18.73%,2.64%,52.43%,78.68%,100.00%,84.74%,26.71%,73.29%,6.20%,23.81%,3.36%,66.63%,92.85%,33249.7,31718.5,236.0,43193.3,13913.7,221.2,259.4,39735.9,27401.8,12700.9,13580.2,45515.8,1940.3,12734.8,51036.1,282.4,908.5,13553.8,48836.0,47048.3,43687.7,48273.1,45191.1,42533.8,39755.3,43275.8,43099.6
#126-2,,116333,100000,26477,73523,5813,22111,3046,62351,93321,100.00%,85.96%,22.76%,63.20%,5.00%,19.01%,2.62%,53.60%,80.22%,100.00%,85.96%,26.48%,73.52%,6.23%,23.69%,3.26%,66.81%,93.32%,34494.5,32290.7,232.9,43835.4,14172.7,218.9,254.9,40309.1,27875.0,13240.9,13833.5,46632.7,2021.9,13629.3,51984.1,318.7,922.5,13792.5,50309.8,47303.7,44084.4,48463.0,45208.3,42922.9,39203.1,43479.1,43315.4
#127-1,,112939,100000,24653,75347,15603,20273,2900,56623,95399,100.00%,88.54%,21.83%,66.71%,13.82%,17.95%,2.57%,50.14%,84.47%,100.00%,88.54%,24.65%,75.35%,16.36%,21.25%,3.04%,59.35%,95.40%,20548.6,19849.0,255.2,26259.9,8374.7,237.9,218.7,27875.7,17972.3,8892.3,9230.7,30016.2,2429.8,8498.2,34218.3,750.0,844.8,9185.8,45933.3,45004.8,42540.3,45811.2,43230.6,41865.1,38897.8,42713.4,42501.7
#127-2,,112167,100000,24694,75306,15396,20409,2851,56980,95636,100.00%,89.15%,22.02%,67.14%,13.73%,18.20%,2.54%,50.80%,85.26%,100.00%,89.15%,24.69%,75.31%,16.10%,21.34%,2.98%,59.58%,95.64%,20330.2,19893.6,252.4,26334.3,8369.5,234.3,213.7,27932.6,18046.0,8979.6,9316.9,30330.5,2426.2,8598.2,34512.3,856.6,854.7,9284.0,45528.7,44681.1,42112.3,45523.5,42951.7,41424.8,38704.2,42536.9,42252.1
#128-1,,110394,100000,44481,55519,19115,39884,2700,34836,96535,100.00%,90.58%,40.29%,50.29%,17.32%,36.13%,2.45%,31.56%,87.45%,100.00%,90.58%,44.48%,55.52%,19.80%,41.32%,2.80%,36.09%,96.53%,13055.6,12544.0,229.8,22409.9,7724.0,218.0,167.5,27048.7,11385.1,14630.5,15044.8,29735.4,3274.8,7778.9,31345.6,2306.1,845.1,14860.4,43218.3,42879.7,41058.8,44338.6,42210.7,40527.2,36798.9,41590.4,41140.0
#128-2,,111218,100000,44443,55557,19010,39648,2837,35041,96536,100.00%,89.91%,39.96%,49.95%,17.09%,35.65%,2.55%,31.51%,86.80%,100.00%,89.91%,44.44%,55.56%,19.69%,41.07%,2.94%,36.30%,96.54%,13009.5,12702.0,229.3,22679.5,7738.7,217.4,163.2,27329.3,11538.1,14513.2,15026.8,29794.2,3213.6,7890.2,31384.0,2209.3,841.6,14813.8,43277.8,43204.6,41473.9,44589.1,42300.6,40851.5,36909.3,41962.0,41424.1
#129-1,,112342,100000,62042,37958,13842,56775,2951,23009,96577,100.00%,89.01%,55.23%,33.79%,12.32%,50.54%,2.63%,20.48%,85.97%,100.00%,89.01%,62.04%,37.96%,14.33%,58.79%,3.06%,23.82%,96.58%,8814.9,8596.1,211.3,22300.9,7185.9,204.9,120.1,27759.7,7767.6,18953.7,19642.9,29633.3,3313.8,7655.3,30617.2,3746.1,850.6,19413.3,41998.8,42388.1,41174.1,44372.4,42070.1,40650.0,35803.6,41651.4,40944.1
#129-2,,111827,100000,61737,38263,14066,56590,2855,23092,96603,100.00%,89.42%,55.21%,34.22%,12.58%,50.60%,2.55%,20.65%,86.39%,100.00%,89.42%,61.74%,38.26%,14.56%,58.58%,2.96%,23.90%,96.60%,8921.9,8671.4,210.3,22323.4,7186.8,204.3,114.7,27874.5,7832.6,19271.9,19848.7,30081.0,3338.9,7505.1,30981.0,3743.7,863.1,19558.4,43219.3,43146.2,41999.3,44996.7,42617.4,41434.7,36551.8,42299.0,41669.2
#130-1,,112741,100000,37054,62946,16887,32661,2549,43710,95807,100.00%,88.70%,32.87%,55.83%,14.98%,28.97%,2.26%,38.77%,84.98%,100.00%,88.70%,37.05%,62.95%,17.63%,34.09%,2.66%,45.62%,95.81%,16018.4,15518.4,232.2,24516.9,7635.9,219.1,168.8,27568.7,14002.8,12281.3,12557.4,29199.0,2761.0,7792.4,31310.3,1956.3,832.2,12479.0,45326.8,44618.2,42468.4,45883.6,43307.0,41862.1,37759.9,42786.7,42429.5
#130-2,,111337,100000,37277,62723,16572,32174,2696,43423,94865,100.00%,89.82%,33.48%,56.34%,14.88%,28.90%,2.42%,39.00%,85.21%,100.00%,89.82%,37.28%,62.72%,17.47%,33.92%,2.84%,45.77%,94.87%,16081.1,15645.7,231.2,24806.7,7756.5,218.6,168.5,27746.7,14134.5,12405.1,12735.9,29512.3,2765.4,8053.1,31850.4,1755.0,841.1,12643.9,45436.8,45197.6,43068.2,46463.1,43636.9,42181.5,38147.2,43026.1,42707.7
#131-1,,113262,100000,22587,77413,8405,18153,2792,63182,92532,100.00%,88.29%,19.94%,68.35%,7.42%,16.03%,2.47%,55.78%,81.70%,100.00%,88.29%,22.59%,77.41%,9.08%,19.62%,3.02%,68.28%,92.53%,35158.4,32945.6,244.9,42486.7,14674.7,226.6,263.3,39568.1,28402.9,11884.9,12279.8,46485.0,2299.7,13515.6,53080.5,235.3,908.9,12268.8,49988.2,47792.0,44265.3,48820.9,45045.0,42399.6,40247.0,43289.7,43182.7
#131-2,,113357,100000,22558,77442,8176,18046,2839,63765,92826,100.00%,88.22%,19.90%,68.32%,7.21%,15.92%,2.50%,56.25%,81.89%,100.00%,88.22%,22.56%,77.44%,8.81%,19.44%,3.06%,68.69%,92.83%,35311.1,32853.3,238.0,42353.7,14664.7,219.7,261.3,39827.0,28700.7,11961.9,12292.0,46485.1,2332.0,13016.6,53978.0,201.5,928.1,12283.9,51545.6,47463.0,44201.5,48413.0,44818.9,42596.2,39777.2,43251.5,43155.9
#132-1,,111146,100000,16898,83102,18972,12640,2667,60418,94697,100.00%,89.97%,15.20%,74.77%,17.07%,11.37%,2.40%,54.36%,85.20%,100.00%,89.97%,16.90%,83.10%,20.03%,13.35%,2.82%,63.80%,94.70%,21648.5,21351.3,259.2,25640.2,9791.2,240.1,221.5,27404.8,19484.5,7169.6,7425.5,31142.9,2602.8,8314.3,38507.5,306.3,859.6,7362.7,44751.4,44659.4,41849.6,45230.8,42722.0,40880.3,38180.2,41956.3,41859.7
#132-2,,111242,100000,16999,83001,19013,12650,2767,60461,94891,100.00%,89.89%,15.28%,74.61%,17.09%,11.37%,2.49%,54.35%,85.30%,100.00%,89.89%,17.00%,83.00%,20.04%,13.33%,2.92%,63.72%,94.89%,21514.7,21315.8,258.4,25628.4,9835.7,239.2,224.2,27460.5,19505.9,7257.2,7499.0,31439.3,2595.9,8377.5,39018.6,325.0,875.2,7447.3,44193.7,44077.5,41518.3,44601.6,42288.1,40460.3,38047.3,41482.9,41407.7
#133-1,,110077,100000,32510,67490,26603,27375,2802,38664,95444,100.00%,90.85%,29.53%,61.31%,24.17%,24.87%,2.55%,35.12%,86.71%,100.00%,90.85%,32.51%,67.49%,27.87%,28.68%,2.94%,40.51%,95.44%,14821.3,14495.8,247.4,21359.3,8704.0,231.1,183.6,26606.3,13275.8,12461.4,12653.9,31370.5,3638.1,7817.8,34769.4,1083.5,880.1,12539.8,44600.2,44429.1,42506.4,45355.3,43183.6,41646.3,38744.2,42437.2,42310.0
#133-2,,111171,100000,32377,67623,26832,27331,2664,38570,95397,100.00%,89.95%,29.12%,60.83%,24.14%,24.58%,2.40%,34.69%,85.81%,100.00%,89.95%,32.38%,67.62%,28.13%,28.65%,2.79%,40.43%,95.40%,14865.4,14615.6,247.1,21495.1,8829.8,230.4,185.5,26835.3,13404.5,12600.6,12897.6,32254.0,3630.0,7851.9,35686.7,999.4,896.4,12822.9,44407.4,44403.2,42476.6,45325.6,43099.3,41773.2,38262.7,42513.1,42347.3
#134-1,,111088,100000,50298,49702,22304,44617,2792,25712,95425,100.00%,90.02%,45.28%,44.74%,20.08%,40.16%,2.51%,23.15%,85.90%,100.00%,90.02%,50.30%,49.70%,23.37%,46.76%,2.93%,26.94%,95.42%,10400.9,10212.9,224.5,20321.0,7871.0,213.9,138.3,27159.3,9261.8,17314.3,17814.9,31397.6,4069.2,7751.5,32982.0,2575.3,891.7,17548.5,43402.9,43812.6,42328.2,45314.8,42637.3,41537.4,37149.2,42372.1,41891.0
