Experiment Name:,Exp_20200331_1

Tube Name:,Sample ID:,All Events ,P1 Events,V1L Events,V1R Events,H2-UR Events,H2-UL Events,H2-LL Events,H2-LR Events,P2 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,H2-UR % Total,H2-UL % Total,H2-LL % Total,H2-LR % Total,P2 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,GR % Parent,mCherry % Parent,H2-LL % Parent,GFP % Parent,P2 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P2 Mean FITC-A,All Events  Mean ECD-A,P1 Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P2 Mean ECD-A,All Events  Mean FSC-A,P1 Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,H2-UR Mean FSC-A,H2-UL Mean FSC-A,H2-LL Mean FSC-A,H2-LR Mean FSC-A,P2 Mean FSC-A
#1-2,#1,93720,65065,15231,49834,108,12374,1240,42907,56629,100.00%,69.42%,16.25%,53.17%,0.12%,13.20%,1.32%,45.78%,60.42%,100.00%,69.42%,23.41%,76.59%,0.19%,21.85%,2.19%,75.77%,87.03%,32008.1,32538.5,151.2,42437.2,28508.3,153.8,124.5,38602.6,29339.3,6303.4,7538.2,29274.3,894.9,38404.2,31138.5,4863.8,729.6,7536.6,46923.2,47054.3,43256.5,48215.0,55064.5,42583.6,39413.4,44579.9,44050.6
#2-1,#2,78535,56008,12822,43186,73,10544,903,36141,47661,100.00%,71.32%,16.33%,54.99%,0.09%,13.43%,1.15%,46.02%,60.69%,100.00%,71.32%,22.89%,77.11%,0.15%,22.12%,1.89%,75.83%,85.10%,33231.5,32906.3,158.2,42629.2,25777.2,159.0,126.5,37269.2,28338.0,6310.7,7430.9,29284.3,942.6,22089.2,30278.5,5690.1,706.0,7375.5,45772.4,46766.7,43016.4,47880.2,45443.3,41888.1,37030.2,43450.8,42986.5
#2-2,#2,79791,56116,13295,42821,90,10801,1188,36783,48862,100.00%,70.33%,16.66%,53.67%,0.11%,13.54%,1.49%,46.10%,61.24%,100.00%,70.33%,23.69%,76.31%,0.18%,22.11%,2.43%,75.28%,87.07%,32057.1,32226.1,142.6,42187.4,26859.7,145.8,116.7,37732.8,28489.6,6212.8,7277.6,27854.3,889.0,23598.0,30190.4,5208.9,720.6,7386.2,46681.0,46112.1,42091.3,47360.4,50089.8,41635.6,37271.1,43534.7,42974.7
#2-3,#2,98364,56291,13085,43206,73,10523,1213,36542,48351,100.00%,57.23%,13.30%,43.92%,0.07%,10.70%,1.23%,37.15%,49.16%,100.00%,57.23%,23.25%,76.75%,0.15%,21.76%,2.51%,75.58%,85.89%,25645.9,31759.1,142.6,41334.2,20828.1,141.4,147.3,36292.4,27494.4,5066.8,7386.3,28940.8,858.5,21231.0,30984.5,4653.3,714.5,7432.2,36775.2,45735.8,41832.1,46918.1,46906.7,41066.1,36441.0,42785.4,42258.3
#3-1,#3,73166,57557,20005,37552,138,15841,2373,32944,51296,100.00%,78.67%,27.34%,51.32%,0.19%,21.65%,3.24%,45.03%,70.11%,100.00%,78.67%,34.76%,65.24%,0.27%,30.88%,4.63%,64.22%,89.12%,17892.9,18006.8,123.8,27533.5,16661.4,142.3,-28.9,25100.9,16208.1,6174.5,6692.2,17742.4,805.5,9934.5,18441.0,8900.2,664.5,6560.1,43531.5,44300.0,41767.6,45649.1,45197.2,41204.7,36287.7,42493.9,41816.0
#3-2,#3,73048,57540,20059,37481,118,16210,2272,33062,51662,100.00%,78.77%,27.46%,51.31%,0.16%,22.19%,3.11%,45.26%,70.72%,100.00%,78.77%,34.86%,65.14%,0.23%,31.38%,4.40%,64.00%,89.78%,18021.9,18076.3,128.1,27681.7,18159.2,147.0,-31.3,25236.4,16236.7,6232.0,6744.5,17872.2,789.2,11061.9,18471.3,9160.6,656.4,6643.9,43505.5,44452.4,41857.3,45841.2,45839.6,41058.1,35659.2,42233.2,41583.6
#4-1,#4,72411,55834,19555,36279,121,15564,2274,31881,49840,100.00%,77.11%,27.01%,50.10%,0.17%,21.49%,3.14%,44.03%,68.83%,100.00%,77.11%,35.02%,64.98%,0.24%,31.23%,4.56%,63.97%,89.26%,17466.5,17887.5,128.9,27459.6,23000.1,147.0,-25.4,25214.3,16229.4,6084.1,6693.1,17623.9,801.2,11520.8,18412.2,8815.6,661.5,6603.1,44133.9,44760.0,42379.5,46043.2,46087.8,41165.0,36695.2,42476.4,41811.8
#4-2,#4,96801,74615,26033,48582,193,21480,3254,44450,69377,100.00%,77.08%,26.89%,50.19%,0.20%,22.19%,3.36%,45.92%,71.67%,100.00%,77.08%,34.89%,65.11%,0.28%,30.96%,4.69%,64.07%,92.98%,17378.7,17978.4,124.5,27545.5,20165.6,143.9,-22.7,25391.3,16367.9,6108.4,6740.8,17817.7,805.2,11586.1,18815.5,8441.4,671.4,6683.8,43265.4,44247.5,41686.9,45619.6,50151.0,40860.5,35843.4,42326.6,41590.4
#5-1,,97902,73629,43454,30175,199,36804,4033,27055,68091,100.00%,75.21%,44.39%,30.82%,0.20%,37.59%,4.12%,27.63%,69.55%,100.00%,75.21%,59.02%,40.98%,0.29%,54.05%,5.92%,39.73%,92.48%,11485.0,12132.7,148.7,29390.6,15961.6,163.1,-31.7,26925.8,10831.5,9873.1,11255.3,18436.9,913.5,10750.2,18899.9,8893.8,698.0,11051.2,41271.2,44024.9,42102.3,46793.5,50687.7,40880.4,35154.6,42910.9,41376.7
#5-2,,95101,73715,43232,30483,196,36178,4723,27283,68380,100.00%,77.51%,45.46%,32.05%,0.21%,38.04%,4.97%,28.69%,71.90%,100.00%,77.51%,58.65%,41.35%,0.29%,52.91%,6.91%,39.90%,92.76%,11899.8,12241.2,132.1,29414.7,18681.3,150.1,-37.9,26748.5,10802.7,10167.6,11205.5,18454.9,924.2,20682.6,19049.9,9203.8,698.5,11052.4,42479.8,44001.9,41892.3,46994.0,49342.6,40924.1,35131.5,42904.1,41338.2
