,0.18176,0.40619375,0.8843265,1.12682533333333,1.52532975,gene,locus_tag
1269,1692.4384632897936,2596.3736834043893,4180.316762368109,4101.601196289937,7113.915988152794,rpsB,HHKABJCC_01312
2040,2316.2482072812154,3847.8817789120535,5317.759757524287,5248.806112684809,7585.111704450118,rpsA,HHKABJCC_02109
2215,2700.6948778516826,3649.2788731745663,6362.7984804253065,4553.700170495991,9222.043279499037,rpmF,HHKABJCC_02286
2611,3035.7510997336303,1074.6164659326114,128.86332543548733,49.103664310400504,16.023451890831666,sra,HHKABJCC_02684
2850,4689.102557023817,3703.2386136357063,5833.447203969741,4882.070704108506,7045.338037853673,rplT,HHKABJCC_02925
2851,2752.1166148609877,2349.6648486231506,3835.565284154056,3092.8013288912007,3908.4027703522597,rpmI,HHKABJCC_02926
3292,282.8504127682111,357.46437206831905,647.9599066938958,700.0776799519604,1479.3040125846073,rplY,HHKABJCC_03375
3710,563.6208682670358,1093.0158347611086,2077.680818870418,1922.6813783399225,4232.589440362906,rplS,HHKABJCC_03805
3713,1887.3144056042684,2832.8527634164666,4113.720386434957,3434.666080876963,6080.6151093092285,rpsP,HHKABJCC_03808
4157,93.75853631203672,127.6981826372043,187.14469379314482,222.3788897407398,506.9039598854687,rpsU,HHKABJCC_04265
4251,2005.192943023913,3291.8760931861334,4826.042322853946,4163.260348793645,7218.343646586434,rpsO,HHKABJCC_04360
4269,677.9118466951586,984.3559943896735,1688.9254303006867,1497.7143684999676,2939.167609448996,rpmA,HHKABJCC_04380
4270,1334.281178922488,1845.1304917676528,3257.0042588287124,2883.041346060044,4482.412756873888,rplU,HHKABJCC_04381
4313,1140.5469000590865,2646.8793587896344,4878.22964208785,3892.1738638725938,7981.886756766851,rpsI,HHKABJCC_04424
4314,2090.912082686129,4874.468305180795,6923.234361730275,6184.230488849509,8184.868806801836,rplM,HHKABJCC_04425
