Experiment Name:,Exp_20200327__MOPS_EZ_GLY

Tube Name:,Sample ID:,All Events ,V1L Events,V1R Events,P1 Events,V2L Events,V2R Events,GR Events,GFP Events,H1-LL Events,mCherry Events,All Events  % Total,V1L % Total,V1R % Total,P1 % Total,V2L % Total,V2R % Total,GR % Total,GFP % Total,H1-LL % Total,mCherry % Total,All Events  % Parent,V1L % Parent,V1R % Parent,P1 % Parent,V2L % Parent,V2R % Parent,GR % Parent,GFP % Parent,H1-LL % Parent,mCherry % Parent,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,V2L Mean FITC-A,V2R Mean FITC-A,GR Mean FITC-A,GFP Mean FITC-A,H1-LL Mean FITC-A,mCherry Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,V2L Mean ECD-A,V2R Mean ECD-A,GR Mean ECD-A,GFP Mean ECD-A,H1-LL Mean ECD-A,mCherry Mean ECD-A,All Events  Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P1 Mean FSC-A,V2L Mean FSC-A,V2R Mean FSC-A,GR Mean FSC-A,GFP Mean FSC-A,H1-LL Mean FSC-A,mCherry Mean FSC-A,All Events  rCV FSC-A,V1L rCV FSC-A,V1R rCV FSC-A,P1 rCV FSC-A,V2L rCV FSC-A,V2R rCV FSC-A,GR rCV FSC-A,GFP rCV FSC-A,H1-LL rCV FSC-A,mCherry rCV FSC-A,All Events  rCV FITC-A,V1L rCV FITC-A,V1R rCV FITC-A,P1 rCV FITC-A,V2L rCV FITC-A,V2R rCV FITC-A,GR rCV FITC-A,GFP rCV FITC-A,H1-LL rCV FITC-A,mCherry rCV FITC-A,All Events  rCV ECD-A,V1L rCV ECD-A,V1R rCV ECD-A,P1 rCV ECD-A,V2L rCV ECD-A,V2R rCV ECD-A,GR rCV ECD-A,GFP rCV ECD-A,H1-LL rCV ECD-A,mCherry rCV ECD-A
#160,,100000,65132,21708,86840,23224,63616,1245,20406,8431,56758,100.00%,65.13%,21.71%,86.84%,23.22%,63.62%,1.25%,20.41%,8.43%,56.76%,100.00%,75.00%,25.00%,86.84%,26.74%,73.26%,1.43%,23.50%,9.71%,65.36%,8040.3,162.8,27316.6,6950.6,25190.0,292.0,11586.0,28348.3,-9.6,189.8,17210.1,22557.8,1201.8,17219.3,956.6,23156.2,4994.9,953.4,15304.5,23619.9,42880.6,39944.4,43865.6,40924.6,42878.2,40211.4,44197.0,43856.0,35318.9,40631.6,40.11%,35.03%,36.36%,35.52%,36.59%,35.06%,34.76%,36.43%,32.64%,35.01%,101.32%,83.75%,46.57%,98.65%,52.00%,84.24%,48.07%,44.03%,143.67%,67.83%,99.05%,45.34%,64.88%,84.51%,70.89%,43.91%,47.15%,61.31%,63.63%,44.05%
#161,0.24,100000,1580,75422,77002,76715,287,110,75259,1486,147,100.00%,1.58%,75.42%,77.00%,76.71%,0.29%,0.11%,75.26%,1.49%,0.15%,100.00%,2.05%,97.95%,77.00%,99.63%,0.37%,0.14%,97.74%,1.93%,0.19%,34995.8,237.2,31850.9,31202.3,31223.8,25457.7,20076.3,31889.3,281.4,348.5,847.4,3066.1,727.0,775.0,691.1,23198.0,15711.1,705.0,278.3,30433.5,47185.1,36044.1,41189.7,41084.1,41069.0,45120.6,42727.0,41190.6,35612.8,40665.4,49.96%,41.43%,38.68%,38.73%,38.71%,44.95%,39.12%,38.67%,40.83%,39.97%,51.19%,76.68%,43.04%,44.10%,43.95%,146.90%,78.35%,42.99%,79.90%,72.35%,70.40%,202.24%,60.80%,62.34%,62.14%,96.07%,68.49%,60.67%,226.27%,103.12%
#162,,100000,1801,74088,75889,75410,479,211,73827,1652,199,100.00%,1.80%,74.09%,75.89%,75.41%,0.48%,0.21%,73.83%,1.65%,0.20%,100.00%,2.37%,97.63%,75.89%,99.37%,0.63%,0.28%,97.28%,2.18%,0.26%,33615.2,240.1,30672.3,29950.1,29993.3,23135.1,18842.8,30725.6,275.4,354.8,951.3,5807.7,757.0,876.9,696.4,29296.6,15468.6,714.9,285.1,50434.8,48119.1,35761.7,41642.4,41502.9,41486.9,44020.6,42042.8,41646.5,35155.6,40318.3,50.49%,37.43%,38.96%,39.03%,39.00%,41.41%,37.28%,38.96%,36.31%,38.58%,50.46%,76.90%,42.32%,43.54%,43.31%,146.48%,78.19%,42.25%,77.97%,68.46%,70.57%,208.37%,60.93%,62.76%,62.42%,99.74%,67.29%,60.77%,249.71%,65.01%
#163,0,100000,39271,44833,84104,46228,37876,156,44641,6453,32854,100.00%,39.27%,44.83%,84.10%,46.23%,37.88%,0.16%,44.64%,6.45%,32.85%,100.00%,46.69%,53.31%,84.10%,54.97%,45.03%,0.19%,53.08%,7.67%,39.06%,18672.5,142.9,29197.5,15630.9,28155.7,344.2,21763.7,29245.5,-0.2,172.8,9715.8,20180.0,838.9,9869.9,754.8,20994.9,19047.0,774.5,13239.7,21523.0,46682.7,39582.5,43442.4,41640.1,43100.0,39858.2,58534.3,43389.7,35636.5,40361.7,42.91%,35.21%,36.92%,36.40%,37.01%,35.31%,31.98%,36.88%,34.11%,35.35%,146.77%,92.15%,43.93%,146.57%,45.85%,92.68%,60.75%,43.88%,157.61%,70.48%,128.53%,48.95%,57.13%,126.02%,59.36%,46.27%,37.38%,56.89%,72.99%,46.84%
#164,,100000,84825,4445,89270,6332,82938,32,4401,11761,73076,100.00%,84.82%,4.44%,89.27%,6.33%,82.94%,0.03%,4.40%,11.76%,73.08%,100.00%,95.02%,4.98%,89.27%,7.09%,92.91%,0.04%,4.93%,13.17%,81.86%,2357.9,146.2,32903.4,1777.2,22889.4,165.4,21663.8,33069.9,-34.5,175.5,18980.8,19782.7,918.4,18843.4,708.0,20227.9,17904.7,786.7,14531.7,20625.1,42161.6,40480.0,44629.6,40686.6,41337.9,40636.9,54895.9,44578.4,35969.4,41205.2,37.59%,33.74%,37.28%,33.90%,37.62%,33.65%,34.40%,37.10%,31.51%,33.67%,91.65%,89.58%,49.56%,90.67%,120.72%,89.73%,76.74%,49.34%,118.97%,69.55%,54.98%,47.71%,59.15%,51.32%,88.85%,46.31%,44.50%,58.63%,55.42%,46.73%
#165,0.06,100000,41313,45687,87000,47200,39800,154,45486,6443,34917,100.00%,41.31%,45.69%,87.00%,47.20%,39.80%,0.15%,45.49%,6.44%,34.92%,100.00%,47.49%,52.51%,87.00%,54.25%,45.75%,0.18%,52.28%,7.41%,40.13%,19302.4,149.3,30550.3,16114.0,29431.0,321.0,19951.5,30615.8,10.5,177.2,10415.5,21047.3,812.5,10421.2,736.5,21906.6,24813.3,756.6,13928.3,22300.6,47978.3,41372.5,44777.0,43160.3,44414.8,41672.6,60047.8,44732.9,37055.7,42163.6,39.99%,34.51%,35.74%,35.31%,35.84%,34.53%,29.89%,35.70%,32.96%,34.26%,146.80%,88.87%,43.45%,146.66%,45.20%,89.45%,79.31%,43.36%,184.17%,69.07%,130.63%,46.95%,56.49%,129.14%,59.05%,44.48%,65.22%,56.29%,75.09%,45.00%
#166,,100000,83128,4353,87481,6738,80743,41,4300,12882,70258,100.00%,83.13%,4.35%,87.48%,6.74%,80.74%,0.04%,4.30%,12.88%,70.26%,100.00%,95.02%,4.98%,87.48%,7.70%,92.30%,0.05%,4.92%,14.73%,80.31%,2398.9,139.9,34193.3,1834.4,21842.8,164.7,19651.2,34422.9,-26.3,170.6,19992.5,21017.0,988.5,20020.4,642.4,21637.5,19294.6,803.4,15276.8,22066.7,42346.1,40686.6,44637.0,40883.2,41061.8,40868.3,60110.2,44476.9,36536.1,41449.1,38.88%,34.43%,37.20%,34.59%,36.70%,34.42%,44.07%,37.20%,32.76%,34.49%,95.86%,93.66%,50.50%,94.40%,146.02%,94.23%,107.36%,50.06%,126.31%,70.99%,53.50%,46.08%,57.80%,49.40%,98.43%,44.36%,108.62%,57.30%,56.96%,44.80%
#167,0.09,100000,40490,45767,86257,47635,38622,239,45491,7264,33263,100.00%,40.49%,45.77%,86.26%,47.64%,38.62%,0.24%,45.49%,7.26%,33.26%,100.00%,46.94%,53.06%,86.26%,55.22%,44.78%,0.28%,52.74%,8.42%,38.56%,20028.5,137.3,30591.0,16295.6,29262.9,302.4,18143.5,30679.9,6.9,167.4,10424.0,21311.4,821.3,10439.6,725.9,22420.1,15289.5,743.4,14077.7,22870.8,48230.3,40798.9,44535.2,42781.4,44117.5,41133.4,56387.2,44477.0,37062.6,41613.5,40.15%,34.01%,35.66%,35.09%,35.71%,34.06%,37.46%,35.57%,33.02%,33.87%,146.90%,96.65%,43.98%,146.75%,46.33%,97.63%,84.89%,43.83%,189.25%,71.93%,130.09%,49.01%,58.50%,128.16%,61.56%,45.62%,99.85%,58.18%,81.05%,46.39%
#168,,100000,78003,5333,83336,8284,75052,145,5165,11205,66821,100.00%,78.00%,5.33%,83.34%,8.28%,75.05%,0.14%,5.16%,11.20%,66.82%,100.00%,93.60%,6.40%,83.34%,9.94%,90.06%,0.17%,6.20%,13.45%,80.18%,2898.3,151.4,31449.1,2154.2,19784.6,208.2,15109.8,32040.8,-9.2,178.8,21074.0,22383.1,1326.9,21035.6,695.1,23280.7,16016.1,896.6,14774.2,23653.1,44109.6,41993.9,45622.6,42226.1,42381.8,42208.9,50603.8,45516.4,37709.0,42711.0,43.82%,37.43%,38.90%,37.53%,38.58%,37.41%,45.09%,38.60%,35.77%,37.36%,89.31%,85.97%,48.96%,87.01%,145.88%,86.22%,84.36%,48.12%,172.29%,68.28%,53.75%,45.03%,57.10%,49.38%,102.07%,42.82%,99.28%,55.54%,69.58%,43.29%
#169,0.12,100000,26249,57113,83362,57293,26069,1162,55805,2438,23957,100.00%,26.25%,57.11%,83.36%,57.29%,26.07%,1.16%,55.80%,2.44%,23.96%,100.00%,31.49%,68.51%,83.36%,68.73%,31.27%,1.39%,66.94%,2.92%,28.74%,25384.4,233.5,31660.0,21764.4,31208.0,1010.0,11658.4,32155.3,86.0,256.4,8815.0,26121.8,1063.8,8954.0,853.5,26757.0,9405.4,866.4,11198.3,27542.9,50761.8,43186.1,47168.0,45914.1,46924.9,43692.7,48485.9,47152.3,39637.9,43544.0,45.04%,36.90%,37.99%,37.80%,38.05%,37.11%,38.57%,37.97%,36.14%,36.75%,138.26%,66.80%,44.45%,115.85%,44.98%,67.47%,82.78%,43.59%,2007.38%,60.77%,94.78%,45.91%,57.77%,88.57%,58.62%,44.91%,74.89%,56.79%,195.19%,43.32%
#170,,100000,65579,21956,87535,22622,64913,1168,20537,5999,59831,100.00%,65.58%,21.96%,87.53%,22.62%,64.91%,1.17%,20.54%,6.00%,59.83%,100.00%,74.92%,25.08%,87.53%,25.84%,74.16%,1.33%,23.46%,6.85%,68.35%,8115.8,207.9,27722.1,7109.1,26215.8,450.5,10262.4,29035.6,8.8,233.2,18738.3,24607.0,1578.6,18830.9,930.9,25069.0,10796.8,983.9,15098.2,25488.0,45465.5,42914.4,47027.3,43946.0,46084.3,43200.8,49413.0,46967.2,37370.1,43461.6,40.38%,35.36%,36.24%,35.82%,36.22%,35.51%,37.73%,36.16%,33.03%,35.39%,93.11%,72.10%,45.95%,89.42%,49.10%,72.41%,101.84%,43.11%,257.06%,63.51%,92.41%,44.31%,62.23%,80.35%,66.23%,43.48%,77.42%,58.33%,81.93%,43.41%
#171,0.24,100000,1255,81101,82356,82079,277,94,80966,1190,106,100.00%,1.26%,81.10%,82.36%,82.08%,0.28%,0.09%,80.97%,1.19%,0.11%,100.00%,1.52%,98.48%,82.36%,99.66%,0.34%,0.11%,98.31%,1.44%,0.13%,37333.5,237.4,31903.3,31420.7,31401.5,37105.1,16949.0,31935.9,283.7,322.5,882.5,3594.3,729.4,773.0,697.0,23296.4,18453.1,709.1,188.3,40487.9,55092.1,41500.5,46466.7,46391.0,46373.2,51658.1,47633.8,46466.7,41216.2,45551.2,42.80%,36.70%,35.54%,35.55%,35.55%,38.24%,29.89%,35.55%,36.35%,39.85%,50.22%,79.98%,42.88%,43.67%,43.56%,146.26%,87.73%,42.83%,79.84%,88.43%,67.51%,187.42%,60.66%,61.76%,61.64%,91.33%,80.08%,60.57%,201.84%,123.67%
#172,,100000,1588,80217,81805,81241,564,225,79946,1436,198,100.00%,1.59%,80.22%,81.81%,81.24%,0.56%,0.22%,79.95%,1.44%,0.20%,100.00%,1.94%,98.06%,81.81%,99.31%,0.69%,0.28%,97.73%,1.76%,0.24%,35787.1,238.8,30879.1,30284.4,30276.0,31484.6,17569.9,30933.3,273.5,354.7,1087.6,7982.1,822.3,961.3,750.2,31365.1,21745.0,768.8,279.3,60028.4,54825.7,41373.9,46143.6,46051.0,46014.1,51360.3,48943.3,46138.2,40939.0,44630.9,42.93%,33.10%,35.52%,35.52%,35.47%,38.27%,31.47%,35.52%,32.21%,43.58%,49.57%,73.10%,41.96%,42.98%,42.74%,145.50%,74.38%,41.86%,74.50%,70.01%,62.90%,168.94%,55.89%,57.29%,56.96%,107.51%,86.19%,55.78%,187.53%,68.27%
#173,0,100000,40719,42933,83652,44159,39493,214,42690,6905,33843,100.00%,40.72%,42.93%,83.65%,44.16%,39.49%,0.21%,42.69%,6.90%,33.84%,100.00%,48.68%,51.32%,83.65%,52.79%,47.21%,0.26%,51.03%,8.25%,40.46%,17415.7,135.7,27049.3,13948.6,26124.6,334.2,23613.2,27083.8,-17.0,168.0,9838.9,19797.5,829.9,10062.7,718.8,20510.5,19722.6,732.3,13981.7,20971.5,47270.1,40918.3,43976.6,42487.9,43662.4,41174.7,62599.0,43886.1,37399.5,41635.4,41.22%,33.90%,35.83%,35.03%,35.62%,34.10%,27.00%,35.69%,32.62%,33.93%,147.00%,96.54%,44.10%,146.83%,45.63%,96.81%,51.93%,44.05%,134.39%,71.36%,137.18%,47.91%,59.69%,138.60%,61.70%,45.82%,47.74%,59.47%,63.77%,46.18%
#174,0,100000,80583,3864,84447,5683,78764,54,3802,13507,67084,100.00%,80.58%,3.86%,84.45%,5.68%,78.76%,0.05%,3.80%,13.51%,67.08%,100.00%,95.42%,4.58%,84.45%,6.73%,93.27%,0.06%,4.50%,15.99%,79.44%,2063.3,130.1,31250.3,1554.0,20478.2,188.6,21783.2,31447.4,-39.0,164.3,15353.7,16180.6,876.6,15480.3,540.4,16558.3,17589.7,628.6,11977.8,17025.6,42392.1,41151.3,43956.7,41279.7,41156.0,41288.6,60525.4,43731.0,37219.9,41942.7,39.69%,34.21%,37.66%,34.33%,36.14%,34.20%,28.33%,37.30%,32.32%,34.20%,100.87%,98.64%,50.47%,98.95%,145.15%,98.72%,51.00%,50.34%,118.18%,71.15%,61.40%,52.78%,71.08%,56.47%,104.20%,51.24%,56.04%,70.08%,62.43%,51.38%
#175,0.06,100000,40771,42798,83569,43927,39642,284,42455,7194,33636,100.00%,40.77%,42.80%,83.57%,43.93%,39.64%,0.28%,42.45%,7.19%,33.64%,100.00%,48.79%,51.21%,83.57%,52.56%,47.44%,0.34%,50.80%,8.61%,40.25%,17712.3,134.9,28322.3,14570.4,27284.5,482.0,19668.3,28417.2,-16.7,170.0,9384.4,18727.3,773.8,9532.8,636.3,19390.9,17882.5,653.9,13220.8,19880.4,47239.7,41176.9,44027.9,42637.0,43669.9,41492.3,61723.0,43915.1,37556.0,41949.3,41.19%,34.18%,35.69%,35.03%,35.55%,34.37%,31.94%,35.58%,32.03%,34.31%,147.11%,98.34%,43.57%,146.97%,45.23%,98.50%,58.13%,43.44%,135.10%,71.56%,141.47%,49.05%,63.51%,144.02%,66.04%,46.90%,56.32%,63.15%,63.90%,47.34%
#176,0.06,100000,81177,4149,85326,5914,79412,131,3985,13405,67805,100.00%,81.18%,4.15%,85.33%,5.91%,79.41%,0.13%,3.99%,13.40%,67.80%,100.00%,95.14%,4.86%,85.33%,6.93%,93.07%,0.15%,4.67%,15.71%,79.47%,2183.0,128.5,30337.9,1597.4,20867.8,162.3,12504.9,31162.4,-40.5,162.6,19094.5,20080.7,1241.0,19164.6,632.1,20544.7,15525.4,747.3,15312.7,21015.5,41658.6,40499.5,43261.4,40633.8,41071.2,40601.2,51923.1,43024.1,36811.5,41227.1,38.89%,33.72%,36.23%,33.89%,34.77%,33.82%,42.55%,35.86%,31.61%,33.96%,101.27%,98.80%,48.73%,99.44%,135.88%,98.96%,95.71%,47.41%,112.83%,71.72%,52.83%,45.51%,59.17%,48.81%,90.54%,44.21%,101.45%,57.44%,49.80%,44.82%
#177,0.09,100000,39928,42850,82778,43738,39040,566,42176,6331,33705,100.00%,39.93%,42.85%,82.78%,43.74%,39.04%,0.57%,42.18%,6.33%,33.70%,100.00%,48.24%,51.76%,82.78%,52.84%,47.16%,0.68%,50.95%,7.65%,40.72%,17886.5,149.6,28230.9,14685.8,27320.5,530.8,11841.8,28519.0,-2.3,182.7,10319.9,20737.1,858.4,10446.9,676.1,21393.6,11688.7,698.3,14347.7,21892.1,46988.0,40754.4,43613.7,42234.5,43278.4,41065.1,51820.1,43513.1,37319.4,41396.8,40.89%,33.12%,35.50%,34.53%,35.22%,33.49%,40.52%,35.34%,31.70%,33.47%,146.98%,91.83%,43.64%,146.75%,44.85%,92.49%,95.41%,43.06%,153.17%,70.66%,138.25%,45.75%,59.79%,139.19%,61.93%,44.04%,80.02%,58.98%,66.95%,44.34%
#178,0.09,100000,79818,5716,85534,7125,78409,518,5055,12886,67075,100.00%,79.82%,5.72%,85.53%,7.12%,78.41%,0.52%,5.05%,12.89%,67.08%,100.00%,93.32%,6.68%,85.53%,8.33%,91.67%,0.61%,5.91%,15.07%,78.42%,2410.1,134.9,26638.8,1906.1,20745.0,194.2,6927.4,29368.2,-37.6,171.0,18556.6,19706.2,1456.8,18486.6,624.3,20109.7,7457.2,721.9,15158.1,20550.0,42084.3,40796.1,43173.4,40955.0,41098.6,40941.9,46136.5,42949.6,36990.7,41526.2,39.57%,34.38%,36.02%,34.45%,34.61%,34.42%,38.74%,35.57%,32.23%,34.51%,99.33%,97.03%,53.46%,97.74%,101.93%,97.46%,58.20%,46.69%,118.04%,71.77%,54.08%,45.28%,67.35%,49.84%,90.24%,44.24%,51.92%,61.78%,50.32%,44.79%
#179,0.12,100000,25181,58282,83463,57095,26368,2754,55034,3877,21798,100.00%,25.18%,58.28%,83.46%,57.09%,26.37%,2.75%,55.03%,3.88%,21.80%,100.00%,30.17%,69.83%,83.46%,68.41%,31.59%,3.30%,65.94%,4.65%,26.12%,23496.6,205.6,27533.0,19288.3,27719.5,1031.9,6437.2,28822.0,54.2,262.9,5866.1,16967.9,924.2,5764.6,528.0,17103.6,7594.7,532.1,9529.0,18074.7,48582.9,40910.4,43417.0,42660.8,43149.7,41602.1,44520.8,43408.5,37393.7,41474.7,41.79%,33.86%,35.43%,35.12%,35.33%,34.32%,36.98%,35.35%,31.59%,34.27%,134.27%,84.59%,45.66%,116.46%,44.80%,89.93%,64.17%,42.84%,641.27%,71.56%,114.97%,57.95%,78.73%,108.30%,79.78%,57.22%,55.95%,76.64%,146.68%,53.78%
#180,0.12,100000,60436,25905,86341,21604,64737,5427,19595,7214,54105,100.00%,60.44%,25.91%,86.34%,21.60%,64.74%,5.43%,19.60%,7.21%,54.11%,100.00%,70.00%,30.00%,86.34%,25.02%,74.98%,6.29%,22.69%,8.36%,62.66%,7715.7,198.2,20946.5,6423.3,23648.9,674.9,5288.9,26158.4,-11.2,247.7,15340.0,20784.9,2650.9,15344.1,695.0,20232.8,8555.2,725.7,14784.2,21394.1,43111.0,40339.0,42671.7,41038.9,42082.8,40690.5,43276.5,42734.2,36256.9,40838.0,39.17%,33.74%,34.43%,34.09%,34.42%,33.93%,34.43%,34.43%,31.32%,33.99%,115.33%,83.59%,65.19%,111.86%,47.17%,87.30%,55.64%,41.80%,149.35%,69.97%,101.87%,45.86%,80.71%,88.48%,69.14%,48.62%,51.25%,61.68%,64.53%,45.49%
#181,0.24,100000,1658,80657,82315,82042,273,82,80519,1618,96,100.00%,1.66%,80.66%,82.31%,82.04%,0.27%,0.08%,80.52%,1.62%,0.10%,100.00%,2.01%,97.99%,82.31%,99.67%,0.33%,0.10%,97.82%,1.97%,0.12%,33410.9,217.9,28630.9,28058.6,27992.4,47966.2,17368.0,28661.0,261.7,402.8,793.5,1539.3,665.5,683.1,633.8,15486.8,17438.7,648.4,175.2,23998.7,50935.7,39494.8,43171.0,43097.0,43068.3,51721.0,41861.9,43172.0,39409.3,43403.9,43.11%,33.96%,35.68%,35.68%,35.65%,46.05%,38.85%,35.67%,34.32%,26.84%,51.32%,83.56%,43.41%,44.46%,44.35%,146.55%,50.12%,43.35%,84.98%,78.35%,68.78%,225.06%,61.22%,62.75%,62.63%,74.86%,64.31%,61.11%,252.08%,126.69%
#182,0.24,100000,1763,80138,81901,81541,360,154,79934,1689,124,100.00%,1.76%,80.14%,81.90%,81.54%,0.36%,0.15%,79.93%,1.69%,0.12%,100.00%,2.15%,97.85%,81.90%,99.56%,0.44%,0.19%,97.60%,2.06%,0.15%,31939.9,218.4,27678.4,27087.3,27080.4,28645.1,16819.7,27715.5,251.5,398.5,748.2,2770.0,571.2,618.5,530.9,20460.0,13885.8,543.8,147.8,38690.2,51280.9,38823.2,43317.4,43220.7,43203.9,47025.8,44605.1,43315.1,38712.2,42039.3,42.88%,33.94%,35.22%,35.20%,35.17%,43.79%,36.66%,35.22%,34.04%,39.30%,49.92%,80.01%,41.98%,43.07%,42.92%,145.29%,79.50%,41.92%,80.81%,87.19%,79.66%,258.11%,71.05%,72.84%,72.74%,100.73%,64.08%,70.97%,299.37%,82.52%
#183,0,100000,49509,34439,83948,35745,48203,88,34324,7779,41757,100.00%,49.51%,34.44%,83.95%,35.75%,48.20%,0.09%,34.32%,7.78%,41.76%,100.00%,58.98%,41.02%,83.95%,42.58%,57.42%,0.10%,40.89%,9.27%,49.74%,11281.2,141.5,24334.3,10066.4,23281.8,266.5,18065.1,24368.2,-30.5,174.5,5865.6,9998.8,432.0,6074.1,413.6,10271.7,12874.0,397.3,7214.5,10513.7,43089.1,41717.0,42824.4,42171.3,42359.8,42031.5,62249.6,42775.8,36906.3,42612.9,41.46%,34.61%,35.26%,34.84%,35.43%,34.41%,22.08%,35.20%,33.38%,34.23%,143.73%,89.88%,43.99%,143.03%,46.09%,89.74%,48.92%,43.94%,135.49%,66.80%,140.28%,56.07%,88.11%,136.24%,89.84%,54.05%,37.66%,87.96%,71.26%,54.30%
#184,0,100000,83246,2337,85583,3929,81654,22,2315,13005,70241,100.00%,83.25%,2.34%,85.58%,3.93%,81.65%,0.02%,2.32%,13.01%,70.24%,100.00%,97.27%,2.73%,85.58%,4.59%,95.41%,0.03%,2.70%,15.20%,82.07%,953.0,134.8,26790.5,862.7,15782.4,144.8,14333.9,26908.9,-43.7,167.8,10458.2,10951.2,547.8,10667.1,556.8,11153.6,9171.2,465.8,8370.4,11429.1,41050.3,41489.4,41940.3,41501.8,38786.6,41632.4,58399.4,41783.9,37220.8,42279.8,39.76%,34.53%,36.49%,34.58%,35.74%,34.51%,37.81%,36.23%,32.43%,34.62%,96.88%,93.22%,47.09%,93.44%,146.10%,93.27%,106.05%,47.06%,122.22%,68.38%,60.39%,52.74%,80.23%,54.81%,113.56%,51.37%,58.71%,80.86%,61.31%,51.33%
#185,0.06,100000,48257,36233,84490,36863,47627,393,35807,6788,41502,100.00%,48.26%,36.23%,84.49%,36.86%,47.63%,0.39%,35.81%,6.79%,41.50%,100.00%,57.12%,42.88%,84.49%,43.63%,56.37%,0.47%,42.38%,8.03%,49.12%,11236.3,143.6,23775.7,10278.1,23228.6,254.4,10444.9,23942.4,-37.9,174.5,8298.9,14782.3,601.8,8701.1,545.4,15013.6,5873.8,541.0,11590.7,15295.6,40785.7,39882.4,41547.3,40596.4,41303.5,40049.0,46255.1,41496.4,35778.1,40554.3,41.04%,33.70%,35.21%,34.35%,35.21%,33.67%,40.87%,35.17%,32.30%,33.68%,149.19%,89.45%,43.81%,149.85%,44.84%,89.19%,68.18%,43.38%,116.67%,67.93%,139.08%,44.69%,68.34%,136.41%,69.54%,43.86%,62.26%,67.83%,48.84%,44.15%
#186,0.06,100000,82003,5018,87021,5772,81249,312,4678,11756,70275,100.00%,82.00%,5.02%,87.02%,5.77%,81.25%,0.31%,4.68%,11.76%,70.28%,100.00%,94.23%,5.77%,87.02%,6.63%,93.37%,0.36%,5.38%,13.51%,80.76%,1499.2,139.5,20967.4,1340.5,17636.8,182.8,8467.6,21917.0,-49.2,171.6,11932.5,12817.8,885.5,12129.8,590.2,12949.5,4909.8,592.0,10119.4,13266.1,40173.8,40409.5,41697.1,40483.7,39896.2,40525.4,45899.8,41439.3,36316.3,41093.2,38.98%,34.10%,34.86%,34.15%,34.84%,34.07%,35.68%,34.88%,32.31%,34.22%,94.72%,91.09%,49.01%,91.80%,65.11%,91.08%,53.46%,46.28%,113.01%,68.34%,57.92%,49.02%,80.08%,53.29%,90.35%,48.38%,47.61%,76.58%,52.58%,48.19%
#187,0.09,100000,37638,46391,84029,45437,38592,1634,44688,5505,32202,100.00%,37.64%,46.39%,84.03%,45.44%,38.59%,1.63%,44.69%,5.51%,32.20%,100.00%,44.79%,55.21%,84.03%,54.07%,45.93%,1.94%,53.18%,6.55%,38.32%,13688.3,147.2,22767.0,12635.2,22711.3,772.0,8373.4,23326.0,-29.1,180.5,7145.7,15536.9,708.4,7350.3,558.1,15347.3,4294.5,571.3,11909.5,16133.4,43300.9,41430.7,42838.8,42208.1,42469.9,41899.9,44363.1,42789.9,37726.6,42057.4,41.17%,34.18%,35.33%,34.86%,35.24%,34.44%,36.65%,35.27%,32.51%,34.07%,146.55%,91.24%,45.02%,145.95%,44.62%,92.01%,56.62%,43.32%,121.77%,68.72%,140.48%,45.54%,72.13%,139.66%,71.90%,46.77%,46.17%,70.40%,51.83%,44.82%
#188,0.09,100000,65294,19463,84757,18698,66059,1822,17561,9574,55800,100.00%,65.29%,19.46%,84.76%,18.70%,66.06%,1.82%,17.56%,9.57%,55.80%,100.00%,77.04%,22.96%,84.76%,22.06%,77.94%,2.15%,20.72%,11.30%,65.84%,4532.3,140.9,18417.1,4337.7,17998.6,471.0,8141.7,19559.8,-41.1,174.2,11274.6,14519.9,1065.2,11430.2,702.5,14466.7,3967.6,747.0,11426.0,15036.8,42610.3,42087.6,43548.9,42423.2,42478.0,42407.6,44886.7,43431.9,38238.8,42743.2,40.09%,34.53%,35.26%,34.73%,35.21%,34.60%,35.24%,35.14%,33.74%,34.48%,106.18%,91.90%,45.66%,102.99%,46.59%,92.57%,52.09%,41.47%,115.05%,69.32%,89.69%,46.06%,74.38%,75.96%,73.92%,46.69%,44.76%,68.79%,49.08%,45.69%
#189,0.12,100000,8632,72997,81629,73124,8505,1438,71484,2865,5842,100.00%,8.63%,73.00%,81.63%,73.12%,8.51%,1.44%,71.48%,2.87%,5.84%,100.00%,10.57%,89.43%,81.63%,89.58%,10.42%,1.76%,87.57%,3.51%,7.16%,22463.3,183.3,23498.6,21033.1,22917.7,4829.5,9937.2,23794.4,155.8,215.3,2346.0,16866.3,674.3,2386.6,544.8,18221.9,5418.4,578.6,4689.7,22633.4,43328.1,38749.0,41887.3,41555.5,41459.7,42378.7,43125.9,41864.9,33839.1,41167.2,42.99%,34.68%,34.74%,34.85%,34.78%,35.29%,34.06%,34.75%,31.27%,34.43%,58.56%,81.15%,42.29%,49.07%,43.14%,100.80%,57.90%,41.57%,142.34%,69.13%,87.67%,98.88%,71.60%,78.27%,73.36%,81.06%,53.60%,70.67%,249.67%,54.13%
