Experiment Name:,Exp_20200327__MOPS_EZ_GLY

Tube Name:,Sample ID:,All Events ,V1L Events,V1R Events,P1 Events,V2L Events,V2R Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,All Events  % Total,V1L % Total,V1R % Total,P1 % Total,V2L % Total,V2R % Total,GR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,All Events  % Parent,V1L % Parent,V1R % Parent,P1 % Parent,V2L % Parent,V2R % Parent,GR % Parent,GFP % Parent,H1-LL % Parent,mCherry % Parent,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,V2L Mean FITC-A,V2R Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,V2L Mean ECD-A,V2R Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,All Events  Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P1 Mean FSC-A,V2L Mean FSC-A,V2R Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A
#83,0,100000,27840,52086,79926,52546,27380,251,51915,515,27245,100.00%,27.84%,52.09%,79.93%,52.55%,27.38%,0.25%,51.92%,0.52%,27.25%,100.00%,34.83%,65.17%,79.93%,65.74%,34.26%,0.31%,64.95%,0.64%,34.09%,17943.0,171.0,24272.3,15877.3,23914.8,452.2,18135.2,24265.7,142.4,169.9,4912.4,13093.7,545.6,4916.4,489.7,13411.9,12452.8,490.4,164.2,13370.5,45564.6,42242.0,42855.0,42641.5,42688.8,42550.7,59281.8,42774.3,37309.7,42335.9
#84,,100000,73173,7729,80902,8543,72359,89,7664,754,72395,100.00%,73.17%,7.73%,80.90%,8.54%,72.36%,0.09%,7.66%,0.75%,72.40%,100.00%,90.45%,9.55%,80.90%,10.56%,89.44%,0.11%,9.47%,0.93%,89.48%,4377.8,154.4,30634.2,3066.3,26869.5,256.0,46222.2,30359.9,146.6,154.3,13117.6,14394.5,724.3,13088.5,561.8,14567.4,12832.0,584.6,139.8,14547.3,44136.8,42012.2,41955.0,42006.7,41247.2,42096.4,56454.4,41798.2,37167.2,42061.4
#85,0.06,100000,27882,51665,79547,52088,27459,284,51455,504,27304,100.00%,27.88%,51.67%,79.55%,52.09%,27.46%,0.28%,51.45%,0.50%,27.30%,100.00%,35.05%,64.95%,79.55%,65.48%,34.52%,0.36%,64.69%,0.63%,34.32%,19972.0,174.5,26720.9,17416.1,26349.9,469.3,19502.3,26723.4,145.3,173.5,4697.0,12404.6,498.4,4671.6,438.8,12701.1,11753.0,439.0,91.2,12659.1,47493.6,44288.9,44069.6,44146.5,43890.0,44632.9,59890.9,43977.0,39249.2,44392.4
#86,,100000,73209,7569,80778,8413,72365,121,7458,741,72458,100.00%,73.21%,7.57%,80.78%,8.41%,72.36%,0.12%,7.46%,0.74%,72.46%,100.00%,90.63%,9.37%,80.78%,10.41%,89.59%,0.15%,9.23%,0.92%,89.70%,4793.0,166.1,33229.3,3264.1,28948.3,278.1,46006.4,32978.7,165.5,166.0,11273.0,12411.5,644.0,11308.9,491.0,12566.5,9145.3,496.9,103.5,12539.9,45416.9,44171.6,44081.2,44163.2,43059.0,44291.5,58856.2,43850.9,38738.8,44226.2
#87,0.09,100000,27625,51990,79615,51884,27731,684,51318,441,27172,100.00%,27.63%,51.99%,79.62%,51.88%,27.73%,0.68%,51.32%,0.44%,27.17%,100.00%,34.70%,65.30%,79.62%,65.17%,34.83%,0.86%,64.46%,0.55%,34.13%,20077.7,171.5,26748.1,17526.5,26515.2,708.8,17126.2,26870.2,147.4,171.8,5056.5,13563.5,571.5,5079.5,475.2,13694.0,7412.0,476.1,74.1,13796.2,46655.1,42335.2,42941.4,42731.1,42760.6,42675.8,51850.7,42819.2,39116.9,42393.7
#88,,100000,72042,8505,80547,8768,71779,867,7700,605,71375,100.00%,72.04%,8.51%,80.55%,8.77%,71.78%,0.87%,7.70%,0.60%,71.38%,100.00%,89.44%,10.56%,80.55%,10.89%,89.11%,1.08%,9.56%,0.75%,88.61%,4737.6,161.1,30449.8,3359.3,28296.2,313.2,15637.2,31878.4,120.9,161.0,12421.4,13722.5,915.1,12370.2,568.2,13811.8,4030.7,543.2,73.5,13851.6,46405.2,44325.3,44507.3,44344.5,43621.2,44432.8,47325.3,44182.8,38716.5,44373.4
#89,0.12,100000,21314,57828,79142,54235,24907,5940,52147,445,20610,100.00%,21.31%,57.83%,79.14%,54.23%,24.91%,5.94%,52.15%,0.44%,20.61%,100.00%,26.93%,73.07%,79.14%,68.53%,31.47%,7.51%,65.89%,0.56%,26.04%,21194.9,192.2,25530.5,18706.5,26232.0,2319.8,12717.5,26867.1,113.3,186.3,4853.8,15720.9,861.9,4863.6,542.8,14272.1,4132.2,508.8,63.6,16196.5,46646.1,43025.6,43199.5,43152.6,42814.5,43889.0,45730.0,42904.9,38114.3,43145.5
#90,,100000,60712,19958,80670,14981,65689,10916,9178,528,60048,100.00%,60.71%,19.96%,80.67%,14.98%,65.69%,10.92%,9.18%,0.53%,60.05%,100.00%,75.26%,24.74%,80.67%,18.57%,81.43%,13.53%,11.38%,0.65%,74.44%,6250.9,188.9,19622.4,4996.8,21796.9,1165.4,12650.8,27636.6,132.7,187.8,11715.4,15076.2,1811.5,11794.5,911.0,14276.6,2871.8,566.3,47.8,15236.0,42612.2,41954.7,42473.9,42083.1,40841.5,42366.3,43745.4,40931.8,38487.6,41988.6
#91,0.24,100000,1461,75596,77057,62783,14274,18228,57461,379,989,100.00%,1.46%,75.60%,77.06%,62.78%,14.27%,18.23%,57.46%,0.38%,0.99%,100.00%,1.90%,98.10%,77.06%,81.48%,18.52%,23.66%,74.57%,0.49%,1.28%,27431.9,304.8,25050.8,24581.6,25817.7,19145.0,19693.8,26710.8,148.7,329.8,2072.2,23686.9,1542.1,1961.9,692.8,7544.3,4511.3,597.1,87.5,34989.3,47737.5,40204.2,43101.5,43046.6,42284.1,46400.3,45164.8,42442.9,37459.6,41220.7
#92,,100000,2366,77175,79541,55262,24279,43376,33947,486,1732,100.00%,2.37%,77.17%,79.54%,55.26%,24.28%,43.38%,33.95%,0.49%,1.73%,100.00%,2.97%,97.03%,79.54%,69.48%,30.52%,54.53%,42.68%,0.61%,2.18%,23285.0,280.5,22076.1,21427.7,21709.2,20787.1,21447.0,22786.6,129.4,287.8,2979.1,25508.8,2199.3,2892.6,1117.1,6934.1,3303.1,778.2,52.3,34853.2,44745.8,41103.0,42385.3,42347.1,40709.6,46074.3,44400.8,39810.7,39379.6,41460.0
#93,0,100000,28172,48565,76737,48934,27803,176,48455,464,27642,100.00%,28.17%,48.57%,76.74%,48.93%,27.80%,0.18%,48.45%,0.46%,27.64%,100.00%,36.71%,63.29%,76.74%,63.77%,36.23%,0.23%,63.14%,0.60%,36.02%,19718.3,110.3,27409.2,17387.1,26978.1,506.9,25832.7,27378.5,116.3,108.9,6824.1,17869.7,756.6,7039.2,697.3,18201.2,15088.9,704.2,174.8,18208.1,45152.3,40601.2,43802.1,42627.0,43645.4,40834.5,59082.4,43741.5,38801.0,40632.8
#94,,100000,68264,6196,74460,7087,67373,36,6165,760,67499,100.00%,68.26%,6.20%,74.46%,7.09%,67.37%,0.04%,6.17%,0.76%,67.50%,100.00%,91.68%,8.32%,74.46%,9.52%,90.48%,0.05%,8.28%,1.02%,90.65%,4025.5,122.0,33653.7,2912.3,28852.7,183.6,51150.2,33524.6,112.8,122.1,15188.3,17147.4,927.0,15797.7,690.8,17386.8,17376.7,720.4,201.2,17349.5,40505.8,38622.9,41479.0,38860.6,40678.6,38669.3,52881.5,41406.2,36782.0,38644.0
#95,0.06,100000,29917,47710,77627,48211,29416,115,47648,605,29259,100.00%,29.92%,47.71%,77.63%,48.21%,29.42%,0.12%,47.65%,0.60%,29.26%,100.00%,38.54%,61.46%,77.63%,62.11%,37.89%,0.15%,61.38%,0.78%,37.69%,20855.7,127.2,29284.0,18047.1,28792.0,437.0,19070.4,29276.9,122.9,126.2,7053.6,18007.4,712.0,7377.6,667.6,18374.8,14930.3,677.4,190.7,18407.7,44422.0,38996.5,41534.4,40556.3,41415.1,39148.8,51222.1,41512.1,36482.8,39042.1
#96,,100000,75171,6758,81929,7862,74067,51,6758,962,74158,100.00%,75.17%,6.76%,81.93%,7.86%,74.07%,0.05%,6.76%,0.96%,74.16%,100.00%,91.75%,8.25%,81.93%,9.60%,90.40%,0.06%,8.25%,1.17%,90.51%,4251.0,120.7,34216.0,2933.1,28931.9,173.3,16116.6,34099.0,101.6,120.6,14740.2,16137.3,740.8,14867.3,650.8,16376.3,13032.2,659.6,371.4,16351.3,40662.3,38797.2,41544.5,39023.8,40412.2,38876.5,48455.8,41481.9,35408.0,38840.3
#97,0.09,100000,30518,48598,79116,49138,29978,357,48343,688,29728,100.00%,30.52%,48.60%,79.12%,49.14%,29.98%,0.36%,48.34%,0.69%,29.73%,100.00%,38.57%,61.43%,79.12%,62.11%,37.89%,0.45%,61.10%,0.87%,37.58%,22087.1,124.3,29426.2,18123.4,28880.4,491.2,18608.8,29445.6,121.6,122.3,7251.2,18135.3,712.6,7433.2,655.7,18542.5,7904.1,661.6,118.4,18608.7,46031.9,38371.3,41570.5,40336.4,41436.5,38533.3,46799.7,41531.5,37067.9,38391.1
#98,,100000,66278,6535,72813,7527,65286,339,6205,950,65319,100.00%,66.28%,6.54%,72.81%,7.53%,65.29%,0.34%,6.20%,0.95%,65.32%,100.00%,91.02%,8.98%,72.81%,10.34%,89.66%,0.47%,8.52%,1.30%,89.71%,4451.6,116.1,31840.2,2963.3,26966.9,195.9,19488.7,32470.0,109.9,116.1,15169.2,17112.4,908.2,15658.0,694.1,17383.3,4569.2,698.3,162.6,17362.0,41953.5,37519.8,40360.9,37774.8,39183.5,37612.4,44523.2,40133.0,34165.7,37568.3
#99,0.12,100000,23238,54486,77724,53790,23934,2593,51962,848,22321,100.00%,23.24%,54.49%,77.72%,53.79%,23.93%,2.59%,51.96%,0.85%,22.32%,100.00%,29.90%,70.10%,77.72%,69.21%,30.79%,3.34%,66.85%,1.09%,28.72%,23990.7,142.7,28830.7,20253.5,28700.6,1269.3,14456.4,29510.9,150.7,140.1,5495.1,16812.2,794.6,5583.6,644.4,16684.0,4256.6,622.3,128.5,17494.6,46873.2,38599.3,41799.1,40842.4,41592.8,39156.1,43404.2,41717.3,38702.5,38589.5
#100,,100000,56633,17744,74377,17982,56395,6318,11444,829,55786,100.00%,56.63%,17.74%,74.38%,17.98%,56.40%,6.32%,11.44%,0.83%,55.79%,100.00%,76.14%,23.86%,74.38%,24.18%,75.82%,8.49%,15.39%,1.11%,75.00%,7153.5,136.2,23835.2,5790.1,22887.8,338.3,17339.5,27384.9,126.7,136.2,14756.5,19283.4,1546.6,15052.0,1237.6,19456.8,2852.6,811.1,106.0,19577.1,42732.9,38992.1,41762.4,39653.0,41164.2,39171.2,43898.1,40583.0,37626.0,39011.6
#101,0.24,100000,1389,72944,74333,71858,2475,8689,64397,666,581,100.00%,1.39%,72.94%,74.33%,71.86%,2.47%,8.69%,64.40%,0.67%,0.58%,100.00%,1.87%,98.13%,74.33%,96.67%,3.33%,11.69%,86.63%,0.90%,0.78%,33410.5,269.0,30608.8,30041.8,30326.2,21784.9,31173.3,30466.6,151.9,303.4,1476.2,16277.5,1081.8,1365.8,847.4,16416.6,3851.4,700.9,83.1,39354.4,50435.3,41409.5,43889.1,43842.8,43692.9,48194.5,48391.9,43283.5,40419.9,41717.2
#102,,100000,2081,72966,75047,70254,4793,10656,62476,768,1147,100.00%,2.08%,72.97%,75.05%,70.25%,4.79%,10.66%,62.48%,0.77%,1.15%,100.00%,2.77%,97.23%,75.05%,93.61%,6.39%,14.20%,83.25%,1.02%,1.53%,28719.8,258.6,26918.9,26179.6,26587.1,20207.1,27769.8,26704.1,145.3,270.2,2425.3,23434.9,1567.7,2174.1,1174.6,16824.1,4829.7,1010.8,96.4,42257.1,47688.3,39597.0,42249.4,42175.8,41948.6,45506.9,46247.4,41566.0,38074.2,40316.5
#103,0,100000,30022,47862,77884,48789,29095,191,47701,828,29164,100.00%,30.02%,47.86%,77.88%,48.79%,29.10%,0.19%,47.70%,0.83%,29.16%,100.00%,38.55%,61.45%,77.88%,62.64%,37.36%,0.25%,61.25%,1.06%,37.45%,20390.4,110.6,28047.2,17278.5,27439.1,240.3,24061.8,28046.0,150.4,108.8,7289.7,18218.8,754.8,7486.7,703.4,18861.5,12553.5,701.6,154.6,18759.4,47048.8,39309.4,42988.5,41570.3,42819.9,39475.0,56597.3,42939.3,37798.9,39339.8
#104,,100000,76499,6348,82847,7792,75055,54,6374,1073,75346,100.00%,76.50%,6.35%,82.85%,7.79%,75.05%,0.05%,6.37%,1.07%,75.35%,100.00%,92.34%,7.66%,82.85%,9.41%,90.59%,0.07%,7.69%,1.30%,90.95%,3731.0,109.7,33810.7,2692.0,27406.8,126.1,17727.1,33530.8,103.3,109.2,16546.1,18255.3,839.9,16920.9,784.2,18596.2,13570.5,748.2,284.8,18528.4,41350.7,40080.2,44091.3,40387.6,42703.4,40147.1,54321.9,44001.4,37577.8,40111.9
#105,0.06,100000,32435,48927,81362,49927,31435,150,48923,923,31366,100.00%,32.43%,48.93%,81.36%,49.93%,31.44%,0.15%,48.92%,0.92%,31.37%,100.00%,39.87%,60.13%,81.36%,61.36%,38.64%,0.18%,60.13%,1.13%,38.55%,21386.6,122.5,30248.3,18238.7,29535.4,296.5,21324.3,30187.4,117.6,120.2,7856.3,19302.4,749.8,8145.8,699.6,19972.3,16137.2,706.2,182.6,19945.8,46206.6,40086.2,43495.3,42136.2,43342.2,40220.9,57258.6,43447.5,38956.1,40112.3
#106,,100000,77587,6244,83831,7687,76144,93,6255,1170,76313,100.00%,77.59%,6.24%,83.83%,7.69%,76.14%,0.09%,6.26%,1.17%,76.31%,100.00%,92.55%,7.45%,83.83%,9.17%,90.83%,0.11%,7.46%,1.40%,91.03%,3731.6,111.8,34765.8,2692.9,27881.1,150.1,29855.6,34271.9,102.7,111.2,17133.9,18844.2,926.5,17509.7,760.4,19200.6,14018.1,754.4,279.5,19151.4,41093.8,39852.0,43396.4,40116.0,42088.3,39916.9,50751.4,43235.8,37890.3,39881.5
#107,0.09,100000,30130,45551,75681,46444,29237,263,45357,875,29186,100.00%,30.13%,45.55%,75.68%,46.44%,29.24%,0.26%,45.36%,0.88%,29.19%,100.00%,39.81%,60.19%,75.68%,61.37%,38.63%,0.35%,59.93%,1.16%,38.56%,22563.8,126.5,30752.4,18559.7,30064.8,283.3,20477.6,30766.4,141.7,124.4,8050.9,19868.4,765.4,8370.6,697.4,20559.9,11638.9,699.0,144.7,20510.1,48708.5,39455.9,43010.3,41595.2,42858.7,39588.1,53138.7,42952.9,39168.4,39454.0
#108,,100000,75018,7014,82032,8384,73648,142,7015,1111,73764,100.00%,75.02%,7.01%,82.03%,8.38%,73.65%,0.14%,7.02%,1.11%,73.76%,100.00%,91.45%,8.55%,82.03%,10.22%,89.78%,0.17%,8.55%,1.35%,89.92%,3947.4,119.4,33348.5,2960.6,27680.5,146.6,9700.3,33161.6,99.6,118.6,17158.7,19130.4,921.0,17573.5,793.1,19483.7,9181.3,795.4,288.4,19445.6,41801.1,40319.6,43886.1,40624.6,42672.1,40391.5,47117.7,43747.6,37703.8,40359.1
#109,0.12,100000,22732,53489,76221,53750,22471,1976,51704,812,21729,100.00%,22.73%,53.49%,76.22%,53.75%,22.47%,1.98%,51.70%,0.81%,21.73%,100.00%,29.82%,70.18%,76.22%,70.52%,29.48%,2.59%,67.83%,1.07%,28.51%,24462.4,160.4,29667.2,20867.1,29318.2,652.2,16508.3,30063.7,133.6,155.2,6627.3,20977.3,890.5,6881.1,757.3,21529.3,5635.7,719.5,130.3,21908.2,47389.0,38979.3,42080.7,41155.8,41949.9,39256.2,44840.5,41973.0,39361.7,38943.1
#110,,100000,63807,19021,82828,19942,62886,1911,17327,892,62698,100.00%,63.81%,19.02%,82.83%,19.94%,62.89%,1.91%,17.33%,0.89%,62.70%,100.00%,77.04%,22.96%,82.83%,24.08%,75.92%,2.31%,20.92%,1.08%,75.70%,7474.9,144.9,26003.3,6083.1,24509.1,240.0,14226.7,26988.5,111.2,142.5,13686.8,17777.9,1210.7,13973.4,959.4,18100.3,4956.2,835.1,133.8,18075.9,41864.5,39560.8,43000.1,40350.6,42376.9,39708.1,45453.3,42669.7,38088.5,39586.4
#111,0.24,100000,1358,73746,75104,73565,1539,1371,72456,815,462,100.00%,1.36%,73.75%,75.10%,73.57%,1.54%,1.37%,72.46%,0.82%,0.46%,100.00%,1.81%,98.19%,75.10%,97.95%,2.05%,1.83%,96.47%,1.09%,0.62%,34308.7,274.0,30172.3,29631.7,29818.7,20695.1,24966.5,30238.0,191.1,323.4,1276.8,14334.3,939.9,1182.1,778.1,20492.2,9307.1,775.8,148.9,42614.8,50628.6,40232.3,42442.9,42402.9,42338.3,45490.5,45794.9,42387.8,39461.9,39895.3
#112,,100000,1991,77198,79189,76207,2982,3093,74065,1084,947,100.00%,1.99%,77.20%,79.19%,76.21%,2.98%,3.09%,74.06%,1.08%,0.95%,100.00%,2.51%,97.49%,79.19%,96.23%,3.77%,3.91%,93.53%,1.37%,1.20%,30841.5,271.1,28637.5,27924.3,28159.0,21926.8,28211.8,28669.6,213.9,420.9,1900.6,20430.4,1268.9,1750.7,992.7,21122.3,7751.7,972.7,152.7,44828.5,49571.5,43011.7,44637.7,44596.8,44462.9,48020.6,48265.8,44489.7,42952.7,42875.6
#113,0,100000,29823,44686,74509,45384,29125,197,44495,687,29130,100.00%,29.82%,44.69%,74.51%,45.38%,29.12%,0.20%,44.50%,0.69%,29.13%,100.00%,40.03%,59.97%,74.51%,60.91%,39.09%,0.26%,59.72%,0.92%,39.10%,19639.8,126.5,27316.1,16433.2,26758.7,343.4,22371.8,27334.4,144.0,126.0,7334.2,17821.8,741.5,7578.1,665.2,18350.0,17768.3,661.0,268.3,18247.2,46899.8,40242.2,42855.5,41809.5,42670.6,40467.8,60082.0,42782.1,38906.4,40268.9
#114,,100000,73037,5393,78430,6688,71742,72,5339,1006,72013,100.00%,73.04%,5.39%,78.43%,6.69%,71.74%,0.07%,5.34%,1.01%,72.01%,100.00%,93.12%,6.88%,78.43%,8.53%,91.47%,0.09%,6.81%,1.28%,91.82%,3145.1,114.0,32279.3,2325.8,25595.8,156.5,22382.7,32307.0,107.6,113.9,16311.5,17916.6,1067.4,16758.0,778.7,18247.6,15557.4,729.0,284.9,18177.7,41081.8,39841.7,43268.3,40077.4,41846.2,39912.5,54164.9,43124.8,37724.9,39870.2
#115,0.06,100000,32346,46086,78432,46651,31781,309,45804,713,31606,100.00%,32.35%,46.09%,78.43%,46.65%,31.78%,0.31%,45.80%,0.71%,31.61%,100.00%,41.24%,58.76%,78.43%,59.48%,40.52%,0.39%,58.40%,0.91%,40.30%,19995.0,115.5,28255.7,16650.4,27761.0,341.4,20821.3,28289.7,132.1,114.5,7853.3,18685.7,767.7,8157.3,657.7,19165.7,16301.9,658.9,187.3,19124.2,45622.5,38962.7,41956.7,40722.0,41813.5,39119.8,56095.6,41864.5,40101.4,38929.9
#116,,100000,77446,5942,83388,7691,75697,101,5855,1007,76425,100.00%,77.45%,5.94%,83.39%,7.69%,75.70%,0.10%,5.86%,1.01%,76.42%,100.00%,92.87%,7.13%,83.39%,9.22%,90.78%,0.12%,7.02%,1.21%,91.65%,3354.2,116.7,32490.9,2423.6,24911.3,138.8,18038.3,32664.6,117.3,116.6,15171.2,16602.6,832.7,15478.9,827.2,16967.5,12083.7,635.4,223.2,16821.6,40183.8,39806.3,42914.5,40027.8,41024.4,39926.6,51821.8,42753.4,38811.1,39819.4
#117,0.09,100000,32597,47546,80143,48113,32030,410,47211,648,31874,100.00%,32.60%,47.55%,80.14%,48.11%,32.03%,0.41%,47.21%,0.65%,31.87%,100.00%,40.67%,59.33%,80.14%,60.03%,39.97%,0.51%,58.91%,0.81%,39.77%,20454.9,133.5,28253.3,16816.0,27806.2,307.5,15658.5,28319.3,128.4,131.8,7723.0,18641.2,721.3,8009.9,638.2,19083.3,10905.6,634.4,157.4,19056.8,46099.7,39825.6,42518.5,41423.2,42369.7,40001.5,51198.0,42444.2,38818.5,39838.1
#118,,100000,76997,6966,83963,8105,75858,328,6680,1009,75946,100.00%,77.00%,6.97%,83.96%,8.11%,75.86%,0.33%,6.68%,1.01%,75.95%,100.00%,91.70%,8.30%,83.96%,9.65%,90.35%,0.39%,7.96%,1.20%,90.45%,3497.9,116.4,28821.5,2497.9,24392.5,158.6,9035.0,29618.2,119.4,115.8,16013.6,17524.6,1051.3,16157.9,756.7,17803.4,8442.4,687.3,309.8,17762.5,40291.2,38455.7,41374.8,38697.9,40195.2,38537.9,46178.6,41126.7,36738.7,38477.9
#119,0.12,100000,24653,58756,83409,58253,25156,2010,56914,910,23575,100.00%,24.65%,58.76%,83.41%,58.25%,25.16%,2.01%,56.91%,0.91%,23.58%,100.00%,29.56%,70.44%,83.41%,69.84%,30.16%,2.41%,68.23%,1.09%,28.26%,22690.4,173.6,26634.4,18813.5,26651.5,663.2,7960.3,27218.3,145.1,168.7,6310.3,19500.6,903.1,6399.9,660.0,19691.5,8277.1,651.6,153.3,20358.3,45209.1,37854.8,40384.8,39637.0,40274.6,38160.6,41119.2,40341.9,37568.2,37888.8
#120,,100000,65349,21190,86539,20299,66240,2978,18691,966,63904,100.00%,65.35%,21.19%,86.54%,20.30%,66.24%,2.98%,18.69%,0.97%,63.90%,100.00%,75.51%,24.49%,86.54%,23.46%,76.54%,3.44%,21.60%,1.12%,73.84%,6951.4,150.1,22351.4,5586.3,22741.0,329.3,5059.8,24560.4,111.3,144.0,14239.4,18417.6,1656.0,14313.3,843.6,18441.1,7882.2,805.3,193.8,18777.4,40585.8,37948.4,40514.6,38576.8,40072.6,38118.4,40067.4,40444.2,36894.3,37986.5
#121,0.24,100000,1099,80689,81788,80822,966,852,79909,657,370,100.00%,1.10%,80.69%,81.79%,80.82%,0.97%,0.85%,79.91%,0.66%,0.37%,100.00%,1.34%,98.66%,81.79%,98.82%,1.18%,1.04%,97.70%,0.80%,0.45%,31039.6,236.5,26694.9,26339.4,26451.5,16960.2,23784.8,26702.6,149.2,287.2,1034.9,12299.7,727.6,883.1,633.4,21775.8,9409.1,630.0,136.5,37240.6,47356.6,37686.6,39931.1,39900.9,39865.6,42858.5,44251.6,39889.7,36770.2,37865.2
#122,,100000,1304,81944,83248,81406,1842,1520,80523,561,644,100.00%,1.30%,81.94%,83.25%,81.41%,1.84%,1.52%,80.52%,0.56%,0.64%,100.00%,1.57%,98.43%,83.25%,97.79%,2.21%,1.83%,96.73%,0.67%,0.77%,29291.0,249.4,26046.7,25642.6,25881.3,15093.2,21194.5,26107.1,154.5,259.1,1395.3,21773.0,908.4,1235.2,731.3,23504.6,10356.5,726.0,137.7,44327.7,45827.9,37340.3,39866.3,39826.7,39769.8,42340.4,43316.9,39802.1,35250.4,38652.0
#123,0,100000,33253,47188,80441,48123,32318,147,47068,777,32449,100.00%,33.25%,47.19%,80.44%,48.12%,32.32%,0.15%,47.07%,0.78%,32.45%,100.00%,41.34%,58.66%,80.44%,59.82%,40.18%,0.18%,58.51%,0.97%,40.34%,17118.1,126.4,24647.0,14510.6,24090.5,245.5,24285.6,24634.6,118.9,125.8,7067.4,16789.6,655.7,7325.2,621.1,17308.0,13643.6,615.6,219.0,17199.2,43768.5,39388.3,41066.0,40372.5,40851.4,39659.3,58772.2,41017.5,32809.1,39534.6
#124,,100000,79719,5422,85141,6946,78195,40,5382,968,78751,100.00%,79.72%,5.42%,85.14%,6.95%,78.19%,0.04%,5.38%,0.97%,78.75%,100.00%,93.63%,6.37%,85.14%,8.16%,91.84%,0.05%,6.32%,1.14%,92.49%,2664.7,122.5,29111.3,1968.6,22653.1,131.2,17407.1,29197.7,136.8,122.4,14834.4,16104.2,754.9,15126.7,765.8,16402.4,15213.7,631.6,184.9,16300.9,39919.4,39030.4,41099.8,39162.2,39205.7,39158.3,57324.6,40992.2,33334.7,39099.5
#125,0.06,100000,35153,47914,83067,48952,34115,234,47685,954,34194,100.00%,35.15%,47.91%,83.07%,48.95%,34.11%,0.23%,47.69%,0.95%,34.19%,100.00%,42.32%,57.68%,83.07%,58.93%,41.07%,0.28%,57.41%,1.15%,41.16%,17719.7,133.4,25617.9,14833.1,25000.0,244.5,18282.5,25651.2,143.2,133.1,7125.7,16680.0,637.1,7426.2,582.7,17246.2,11961.7,578.0,170.6,17147.8,43835.5,38505.6,40347.9,39568.3,40109.3,38792.0,55825.1,40272.4,33766.5,38637.0
#126,,100000,81483,5764,87247,8518,78729,169,5615,2289,79174,100.00%,81.48%,5.76%,87.25%,8.52%,78.73%,0.17%,5.62%,2.29%,79.17%,100.00%,93.39%,6.61%,87.25%,9.76%,90.24%,0.19%,6.44%,2.62%,90.75%,2765.9,134.7,29096.0,2048.0,19523.0,157.3,15489.2,29405.2,130.7,134.6,14837.1,16042.9,776.4,15034.3,605.4,16595.4,6288.6,604.8,82.4,16508.6,39186.3,38419.8,39961.4,38521.7,37410.9,38641.8,46531.9,39753.8,32679.1,38586.1
#127,0.09,100000,34355,48446,82801,49716,33085,455,48052,1326,32968,100.00%,34.35%,48.45%,82.80%,49.72%,33.09%,0.46%,48.05%,1.33%,32.97%,100.00%,41.49%,58.51%,82.80%,60.04%,39.96%,0.55%,58.03%,1.60%,39.82%,18320.2,145.0,25786.2,15147.4,25055.2,259.1,8809.2,25915.4,146.0,143.4,7103.1,16782.6,652.7,7345.1,571.9,17523.2,7925.6,569.1,127.8,17503.8,43935.9,38277.1,39737.9,39131.8,39479.0,38610.1,45491.2,39685.6,33277.3,38472.4
#128,,100000,77707,6952,84659,8366,76293,711,6301,1245,76402,100.00%,77.71%,6.95%,84.66%,8.37%,76.29%,0.71%,6.30%,1.25%,76.40%,100.00%,91.79%,8.21%,84.66%,9.88%,90.12%,0.84%,7.44%,1.47%,90.25%,3167.1,138.9,26630.3,2314.4,21899.2,166.8,6920.5,28609.7,127.8,138.5,14903.1,16368.0,1039.1,15109.2,715.2,16687.6,4989.9,605.8,100.4,16644.1,41157.8,39357.0,41043.8,39495.5,39139.7,39534.5,43031.4,40807.0,33898.7,39445.6
#129,0.12,100000,24281,60136,84417,59588,24829,3100,57124,1467,22726,100.00%,24.28%,60.14%,84.42%,59.59%,24.83%,3.10%,57.12%,1.47%,22.73%,100.00%,28.76%,71.24%,84.42%,70.59%,29.41%,3.67%,67.67%,1.74%,26.92%,21170.7,190.2,24768.7,17699.2,24739.4,802.9,7405.6,25674.2,150.8,189.9,5583.1,17882.3,893.5,5780.0,608.0,18192.5,6540.4,583.0,93.0,19106.4,44156.7,38322.6,40004.9,39521.0,39707.6,39073.2,41128.2,39932.2,32877.2,38697.2
#130,,100000,63617,22707,86324,22473,63851,5149,18043,2506,60626,100.00%,63.62%,22.71%,86.32%,22.47%,63.85%,5.15%,18.04%,2.51%,60.63%,100.00%,73.70%,26.30%,86.32%,26.03%,73.97%,5.96%,20.90%,2.90%,70.23%,6425.3,164.4,20282.2,5456.3,19685.9,448.0,6141.8,23798.0,134.2,159.3,12742.8,16935.3,1732.1,12936.2,762.2,17221.0,5885.7,650.2,81.0,17722.9,40073.2,38179.1,39917.1,38636.3,38562.3,38662.4,39760.1,39858.3,32019.5,38450.7
